Firmenname,Grüner Strom,OK Power,Ökotest,EcoTopTen,Utopia,Stromauskunft echter Oekostrom,Firmenanschrift,PLZ,Firmenort,Telefon,Website,Verfügbarkeit
Gemeindewerke Herxheim,True,,,,,,,,,07276 50140,www.gemeindewerke-herxheim.de,regional
Gemeindewerke Lambsheim,True,,,,,,,,,06233 51090,www.lambsheim-hessheim.de,regional
Gemeindewerke Münchweiler,True,,,,,,,,,06395 92110,www.gemeindewerke-muenchweiler.de,regional
Gemeindewerke Ruppichteroth GmbH,,True,,,,,Brölstraße 5,53809,Ruppichteroth,02295 907000,,
Gemeindewerke Waldfischbach-Burgalben,True,,,,,,,,,06333 27580,www.energie.waldfischbach-burgalben.de,regional
GENO Energie GmbH,,,True,True,,,,,,,,
Georg Oest Mineralölwerk GmbH & Co. KG,,True,,,,,Georg-Oest-Str. 4,72250,Freudenstadt,0744 1539112,www.oest.de,
Greenpeace Energy eG,,True,True,True,True,True,Hongkongstr. 10,20457,Hamburg,040 808 110600,www.greenpeace-energy.de,
GWS Stadtwerke Hameln GmbH,True,,,,,,,,,05151 7880,www.stadtwerke-hameln.de/,regional
Heinrich Klöcker GmbH & Co. KG,,True,,,,,Ahauser Str. 21,46325,Borken,0286 1800744,www.kloecker.de,
Hellweg Energie GmbH,,True,,,,,Bunsenstrasse 2,59557,Lippstadt,0241 282 9233,www.hellwegenergie.de,
Hermann Bantleon GmbH,,True,,,,,Blaubeurer Straße 32,89077,Ulm/Donau,0731 3990190,www.bantleon.de,
HKD Handelsgesellschaft für Kirche und Diakonie mbH,,True,,,,,Herzog-Friedrich-Str. 45,24103,Kiel,0431 54 448844,www.hkd.de,
Hochsauerland Energie GmbH,,True,,,,,Auf'm Brinke 11,59872,Meschede,0290 4712 8011,www.hochsauerlandenergie.de,
KESLAR GmbH Energiehandel,,True,,,,,Ostbahnhofstr. 1,87437,Kempten,0831 5753027,www.keslar.de,
LichtBlick SE,,True,True,True,True,,Zirkusweg 6,20359,Hamburg,040 80803030,www.lichtblick.de,
lLZHÖFERS Nachf. lnh. Walch KG,,True,,,,,Siebentischstr. 16a,86161,Augsburg,0821 5608027,www.ilzhoefer.com,
Mainova AG,True,,,,,,,,,0800 1144488,www.mainova.de,regional
MANN Naturenergie GmbH & Co. KG,True,,True,True,True,True,Schulweg 8 - 14,57520,Langenbach,02661 626215,www.mannstrom.de,bundesweit
Mark-E AG,,True,,,,,Körnerstraße 40,58095,Hagen,0800 123 1000,www.mark-e.de,
MEGA Monheimer Elektrizitäts- und Gasversorgung GmbH,,True,,,,,Rheinpromenade 3a,40789,Monheim am Rhein,02173 9520222,www.mega-monheim.de,
Mindener Stadtwerke GmbH,True,,,,,,,,,0800 5278941,www.mindener-stadtwerke.de,regional
NaturEnergie + Deutschland GmbH,True,,,,,,,,,0800 9999973,www.naturenergieplus.de/,bundesweit
NATURSTROM AG/ NaturStromHandel GmbH,True,,True,True,True,True,,,,0211 77 900 100,www.naturstrom.de,bundesweit
