,Firmenname,Grüner Strom,OK Power,Ökotest,EcoTopTen,Utopia,Stromauskunft echter Oekostrom,Firmenanschrift_x,PLZ_x,Firmenort_x,Telefon,Website,Verfügbarkeit,Firmenanschrift_y,PLZ_y,Firmenort_y,Stromauskunft,Verivox
190,DREWAG - Stadtwerke Dresden GmbH,,,,,,,,,,,,,Friedrich-List-Platz 2,01069,Dresden,True,True
191,ENSO Energie Sachsen Ost AG,,,,,,,,,,,,,Friedrich-List-Platz 2,01069,Dresden,True,True
192,Mark-E Aktiengesellschaft,,,,,,,,,,,,,Körnerstraße 40,58095,Hagen,True,True
193,E WIE EINFACH GmbH,,,,,,,,,,,,,Salierring 47-53,50677,Köln,True,True
194,Stadtwerke Lübeck GmbH,,,,,,,,,,,,,Geniner Straße 80,23560,Lübeck,True,True
195,GGEW Gruppen-Gas- und Elektrizitätswerk Bergstraße AG,,,,,,,,,,,,,Dammstr. 68,64625,Bensheim,True,True
196,Städtische Werke AG Kassel,,,,,,,,,,,,,Königstor 3-13,34117,Kassel,True,True
197,energiehoch3 GmbH,,,,,,,,,,,,,Ostring 28,44787,Bochum,True,True
198,SE SAUBER ENERGIE GmbH & Co. KG,,,,,,,,,,,,,Bayenthalgürtel 9,50968,Köln,True,True
199,EnBW Energie Baden-Württemberg AG,,,,,,,,,,,,,Durlacher Allee 93,76131,Karlsruhe,True,True
200,Braunschweiger Versorgungs-AG & Co. KG,,,,,,,,,,,,,Taubenstraße 7,38106,Braunschweig,True,True
201,SWP Stadtwerke Pforzheim GmbH & Co. KG,,,,,,,,,,,,,Sandweg 22,75179,Pforzheim,True,True
202,Energieversorgung Oberhausen AG,,,,,,,,,,,,,Danziger Straße 31,46045,Oberhausen,True,True
203,Grünstromwerk Vertriebs GmbH,,,,,,,,,,,,,Englische Planke 2,20459,Hamburg,True,True
204,Stadtwerke Bielefeld GmbH,,,,,,,,,,,,,Schildescher Str. 16,33611,Bielefeld,True,True
205,Stadtwerke Troisdorf GmbH,,,,,,,,,,,,,Poststr. 105,53840,Troisdorf,True,True
206,Technische Werke Ludwigshafen AG,,,,,,,,,,,,,Industriestraße 3,67063,Ludwigshafen,True,True
207,Dessauer Stromversorgung GmbH,,,,,,,,,,,,,Albrechtstraße 48,06844,Dessau,True,True
208,Wir Energie - eine Marke der Energiehaus Dresden eG,,,,,,,,,,,,,Wiener Str. 114-116,01219,Dresden,True,True
209,ÜZW Energie AG,,,,,,,,,,,,,Regensburger Straße 33,84051,Altheim,True,True
210,Überlandwerk Erding GmbH & Co. KG,,,,,,,,,,,,,Am Gries 21,85435,Erding,True,True
211,Überlandwerk Krumbach GmbH,,,,,,,,,,,,,Bahnhofstraße 4,86381,Krumbach,True,True
212,Überlandwerk Leinetal GmbH,,,,,,,,,,,,,Am Eltwerk 1,31028,Gronau,True,True
213,Überlandwerk Rhön GmbH,,,,,,,,,,,,,Sondheimer Str. 5,97638,Mellrichstadt,True,True
214,Überlandwerk Schäftersheim GmbH & Co. KG,,,,,,,,,,,,,Klosterhof 3,97990,Weikersheim,True,True
215,17er Oberlandenergie GmbH,,,,,,,,,,,,,Viehmarktplatz 1,82418,Murnau am Staffelsee,True,True
216,24/7 Energie und Kommunikation GmbH,,,,,,,,,,,,,Meeboldstraße 1,89522,Heidenheim,True,True
217,AVU Aktiengesellschaft für Versorgungs-Unternehmen,,,,,,,,,,,,,An der Drehbank 18,58285,Gevelsberg,True,True
218,Abita Energie Otterberg GmbH,,,,,,,,,,,,,Bismarckstrasse 14,67655,Kaiserslautern,True,True
219,AggerEnergie GmbH,,,,,,,,,,,,,Alexander-Fleming-Str. 2,51643,Gummersbach,True,True
220,Ahrtal-Werke GmbH,,,,,,,,,,,,,Hauptstraße 116,53474,Bad Neuenahr-Ahrweiler,True,True
221,Albstadtwerke GmbH,,,,,,,,,,,,,Goethestraße 91,72461,Albstadt,True,True
222,Allgäuer Überlandwerk GmbH,,,,,,,,,,,,,Illerstraße 18,87435,Kempten,True,True
223,Allgäuer Kraftwerke GmbH,,,,,,,,,,,,,Am Alten Bahnhof 10,87527,Sonthofen,True,True
224,Ammer-Loisach Energie GmbH,,,,,,,,,,,,,Schnitzlergasse 5,82487,Oberammergau,True,True
225,"BELKAW Bergische Licht-, Kraft- und Wasserwerke GmbH",,,,,,,,,,,,,Hermann-Löns-Str. 131-133,51469,Bergisch-Gladbach,True,True
226,BEW Bergische Energie- und Wasser-GmbH,,,,,,,,,,,,,Sonnenweg 30,51688,Wipperfürth,True,True
227,BIGGE ENERGIE GmbH & Co. KG,,,,,,,,,,,,,In der Stesse 14,57439,Attendorn,True,True
228,Bad Lauterberg Energie GmbH,,,,,,,,,,,,,Bahnhofstraße 17-19,37431,Bad Lauterberg im Harz,True,True
229,BeSte Stadtwerke GmbH,,,,,,,,,,,,,Im Altenhagen 1,32839,Steinheim,True,True
230,Bocholter Energie- und Wasserversorgung GmbH,,,,,,,,,,,,,Kaiser-Wilhelm-Straße 1,46395,Bocholt,True,True
231,"E-Werk Satrup, Heinrich N. Clausen GmbH & Co.KG",,,,,,,,,,,,,Mühlenstraße 11,24986,Satrup,True,True
232,E-Werke Haniel Haimhausen OHG,,,,,,,,,,,,,Dachauer Straße 4 a,85778,Haimhausen,True,True
233,EAM Energie GmbH,,,,,,,,,,,,,Monteverdistraße 2,34131,Kassel,True,True
234,EGT Energievertrieb GmbH,,,,,,,,,,,,,Schonacher Str. 2,78098,Triberg,True,True
235,EMB - Energieversorgung Miltenberg-Bürgstadt GmbH & Co. KG,,,,,,,,,,,,,Luitpoldstraße 17,63897,Miltenberg,True,True
236,ENNI Energie & Umwelt Niederrhein GmbH,,,,,,,,,,,,,Uerdinger Straße 31,47441,Moers,True,True
237,ENRW Energieversorgung Rottweil GmbH & Co. KG,,,,,,,,,,,,,In der Au 5,78628,Rottweil,True,True
238,EWG Elektrizitätsversorgung Werther GmbH,,,,,,,,,,,,,Alte Bielefelder Straße 28,33824,Werther,True,True
239,EWR GmbH - Energie und Wasser für Remscheid,,,,,,,,,,,,,Neuenkamper Straße 81-87,42855,Remscheid,True,True
240,EWV Energie- und Wasser-Versorgung GmbH Stolberg,,,,,,,,,,,,,Willy-Brandt-Platz 2,52222,Stolberg,True,True
241,EZV Energie- und Service GmbH & Co. KG Untermain,,,,,,,,,,,,,Landstraße 47,63939,Wörth a. Main,True,True
242,Eichsfelder Energie- und Wasserversorgungsgesellschaft mbH,,,,,,,,,,,,,Am Euzenberg 32,37115,Duderstadt,True,True
243,Elektra-Genossenschaft Effeltrich eG,,,,,,,,,,,,,Hauptstr. 1,91090,Effeltrich,True,True
244,Elektrizitäts- und Wasserversorgungsgenossenschaft Vagen eG,,,,,,,,,,,,,Lindenstraße 14,83620,Feldkirchen-Westerham,True,True
245,Elektrizitäts-Genossenschaft Tacherting-Feichten e.G.,,,,,,,,,,,,,Stefan-Flötzl-Str. 4,83342,Tacherting,True,True
246,Elektrizitäts-Genossenschaft Vogling & Angrenzer eG,,,,,,,,,,,,,Höpfling 2,83313,Siegsdorf,True,True
247,Elektrizitäts-Genossenschaft Wolkersdorf und Umgebung eG,,,,,,,,,,,,,Schmidhamer Str. 26,83278,Traunstein-Wolkersdorf,True,True
248,Elektrizitäts-Werk Mainbernheim GmbH,,,,,,,,,,,,,Am Wehrbach 1,97350,Mainbernheim,True,True
249,Elektrizitäts-Werk Ottersberg,,,,,,,,,,,,,Grüne Straße 24,28870,Ottersberg,True,True
250,Elektrizitätsgenossenschaft Engelsberg e.G.,,,,,,,,,,,,,Osnabrücker Straße 31a,49219,Glandorf,True,True
251,Elektrizitätsgenossenschaft Karlstein eG,,,,,,,,,,,,,Weitwiesenring 6,83435,Bad Reichenhall,True,True
252,Elektrizitätsgenossenschaft Ohlstadt eG,,,,,,,,,,,,,Schwaigweg 7,82441,Ohlstadt,True,True
253,Elektrizitätsgenossenschaft Rettenberg eG,,,,,,,,,,,,,Burgberger Str. 24,87549,Rettenberg,True,True
254,Elektrizitätsvereinigung Böbing eG,,,,,,,,,,,,,Riedelweg 2,82389,Böbing,True,True
255,Elektrizitätsversorgung (EVU) der Gemeinde Gochsheim,,,,,,,,,,,,,Am Plan 4-6,97469,Gochsheim,True,True
256,Elektrizitätswerk Gemeinde Glattbach,,,,,,,,,,,,,Im Wiesengrund 3,63864,Glattbach,True,True
257,Elektrizitätswerk Hammermühle Versorgungsgesellschaft mbH,,,,,,,,,,,,,Im Geisenborn 4,56242,Selters,True,True
258,Elektrizitätswerk Hindelang eG,,,,,,,,,,,,,Weidachstrasse 9,87541,Bad Hindelang,True,True
259,Elektrizitätswerk Karl Stengle GmbH & Co KG,,,,,,,,,,,,,Niedere-Au-Straße 11,72108,Rottenburg a. N.,True,True
260,Elektrizitätswerk Oberwössen eG,,,,,,,,,,,,,Dorfstraße 28,83246,Oberwössen,True,True
261,Elektrizitätswerk Rieger GmbH & Co. KG,,,,,,,,,,,,,Friedrichstrasse 16,72805,Lichtenstein,True,True
262,Elektrizitätswerk Tegernsee Vertriebs- und Service-KG,,,,,,,,,,,,,Hochfeldstraße 3,83684,Tegernsee,True,True
263,Elektrizitätswerk Wanfried von Scharfenberg KG,,,,,,,,,,,,,Unter der Tränke 1,37281,Wanfried,True,True
264,Elektrizitätswerk des Kantons Schaffhausen AG,,,,,,,,,,,,,Rheinstr. 37,CH-8200 ,Schaffhausen,True,True
265,Elektrizitätswerke Reutte GmbH & Co KG,,,,,,,,,,,,,Lechhalde 1 1/2,87629,Füssen,True,True
266,Emscher Lippe Energie GmbH,,,,,,,,,,,,,Ebertstr.30,45879,Gelsenkirchen,True,True
267,EnBW Ostwürttemberg DonauRies Aktiengesellschaft ODR,,,,,,,,,,,,,Unterer Brühl 2,73479,Ellwangen,True,True
268,Energie Rhein-Sieg GmbH,,,,,,,,,,,,,Südstraße 27,53757,Sankt Augustin,True,True
269,Energie Südbayern GmbH,,,,,,,,,,,,,Ungsteiner Straße 31,81539,München,True,True
270,Energie Vorpommern GmbH,,,,,,,,,,,,,Wiesenweg 6,17449,Trassenheide,True,True
271,Energie Waldeck-Frankenberg GmbH,,,,,,,,,,,,,Arolser Landstr. 27,34497,Korbach,True,True
272,Energie und Versorgung Butzbach GmbH,,,,,,,,,,,,,Himmrichsweg 2,35510,Butzbach,True,True
273,Energie und Wasser Potsdam GmbH,,,,,,,,,,,,,Steinstr. 101,14480,Potsdam,True,True
274,Energie und Wasser Wahlstedt/Bad Segeberg GmbH & Co KG,,,,,,,,,,,,,Am Wasserwerk 5,23795,Bad Segeberg,True,True
275,Energie- und Wasserversorgung Altenburg GmbH,,,,,,,,,,,,,Franz-Mehring-Straße 6,04600,Altenburg,True,True
276,Energie- und Wasserversorgung Bünde GmbH,,,,,,,,,,,,,Osnabrücker Str. 205,32257,Bünde,True,True
277,Energie- und Wasserversorgung Bitz GmbH,,,,,,,,,,,,,Goethestraße 91,72461,Albstadt,True,True
278,Energie- und Wasserversorgung Kirchzarten GmbH,,,,,,,,,,,,,Hauptstrasse 24,79199,Kirchzarten,True,True
279,Energie- und Wasserwerke Bautzen GmbH,,,,,,,,,,,,,Schäfferstraße 44,02625,Bautzen,True,True
280,Energie-Gesellschaft Unterkirnach mbH,,,,,,,,,,,,,Hauptstraße 5,78089,Unterkirnach,True,True
281,EnergieSüdwest Aktiengesellschaft,,,,,,,,,,,,,Industriestr. 18,76829,Landau,True,True
282,Energiegenossenschaft für Wittmund eG,,,,,,,,,,,,,Aseler-Str. 10,26409,Wittmund,True,True
283,Energieversorgung Bad Bentheim GmbH & Co. KG,,,,,,,,,,,,,Schloßstraße 2a,48455,Bad Bentheim,True,True
284,Energieversorgung Buching-Trauchgau GmbH,,,,,,,,,,,,,Lechbrucker Str. 4,87642,Halblech,True,True
285,Energieversorgung Dahlenburg-Bleckede AG,,,,,,,,,,,,,Lüneburger Straße 21,21368,Dahlenburg,True,True
286,Energieversorgung Gaildorf OHG,,,,,,,,,,,,,Burg 2,74405,Gaildorf - Unterrot,True,True
287,Energieversorgung Gera GmbH,,,,,,,,,,,,,De-Smit-Straße 18,07545,Gera,True,True
288,Energieversorgung Greiz GmbH,,,,,,,,,,,,,Mollbergstraße 20,07973,Greiz,True,True
289,Energieversorgung Lenningen GmbH,,,,,,,,,,,,,Eybstraße 98 - 102,73252,Lenningen,True,True
290,Energieversorgung Leverkusen GmbH & Co. KG,,,,,,,,,,,,,Overfeldweg 23,51371,Leverkusen,True,True
291,Energieversorgung Limburg GmbH,,,,,,,,,,,,,Ste.-Foy-Straße 36,65549,Limburg an der Lahn,True,True
292,Energieversorgung Lohr-Karlstadt und Umgebung GmbH,,,,,,,,,,,,,Zum Helfenstein 4 - 6,97753,Karlstadt,True,True
293,Energieversorgung Münchberg-Schwarzenbach/Saale GmbH & Co.KG,,,,,,,,,,,,,Mühlgasse 5,95213,Münchberg,True,True
294,Energieversorgung Main-Spessart GmbH,,,,,,,,,,,,,Boschweg 9,63741,Aschaffenburg,True,True
295,Energieversorgung Mainhardt Wüstenrot GmbH & Co. KG,,,,,,,,,,,,,Hauptstraße 1,74535,Mainhardt,True,True
296,Energieversorgung Mittelrhein AG,,,,,,,,,,,,,Ludwig-Erhard-Str. 8,56073,Koblenz,True,True
297,Energieversorgung Nordhausen GmbH,,,,,,,,,,,,,Straße der Genossenschaften 93,99734,Nordhausen,True,True
298,Energieversorgung Oberes Wiesental GmbH,,,,,,,,,,,,,Meinrad-Thoma-Straße 8a,79674,Todtnau,True,True
299,Energieversorgung Oberstdorf GmbH,,,,,,,,,,,,,Nebelhornstraße 51-53,87561,Oberstdorf,True,True
300,Energieversorgung Offenbach AG,,,,,,,,,,,,,Andréstraße 71,63067,Offenbach,True,True
301,Energieversorgung Oy-Kressen e.G.,,,,,,,,,,,,,Sonnenmulde 1,87466,Oy-Mittelberg,True,True
302,Energieversorgung Rudolstadt GmbH,,,,,,,,,,,,,Oststraße 18,07407,Rudolstadt,True,True
303,Energieversorgung Südbaar GmbH & Co.KG,,,,,,,,,,,,,Leo-Wohleb-Str. 3,78176,Blumberg,True,True
304,Energieversorgung Schmid,,,,,,,,,,,,,Mühlenstraße 44,83417,Kirchanschöring,True,True
305,Energieversorgung Sehnde GmbH,,,,,,,,,,,,,Nordstraße 19,31319,Sehnde,True,True
306,Energieversorgung Sylt GmbH,,,,,,,,,,,,,Friesische Str. 53,25980,Westerland,True,True
307,Energieversorgung Titisee-Neustadt GmbH,,,,,,,,,,,,,Gutachstr. 13,79822,Titisee-Neustadt,True,True
308,Energieversorgung Trossingen GmbH,,,,,,,,,,,,,Bahnhofstraße 9,78647,Trossingen,True,True
309,Energiewerk Meckenheim,,,,,,,,,,,,,Hauptstr. 58,67149,Meckenheim,True,True
310,Energiewerke Isernhagen GmbH,,,,,,,,,,,,,Bothfelder Straße 31,30916,Isernhagen,True,True
311,Energiewerke Zeulenroda GmbH,,,,,,,,,,,,,Lohweg 8,07937,Zeulenroda,True,True
312,Erhard Bürk-Kauffmann GmbH,,,,,,,,,,,,,Neuffenstraße 27-29,78056,Villingen-Schwenningen,True,True
313,Erlanger Stadtwerke AG,,,,,,,,,,,,,Äußere Bruckstr. 33,91052,Erlangen,True,True
314,FREITALER STROM+GAS GMBH,,,,,,,,,,,,,Potschappler Straße 2,01705,Freital/Sachsen,True,True
315,Feuchter Gemeindewerke GmbH,,,,,,,,,,,,,Unterer Zeidlerweg 1,90537,Feucht,True,True
316,Filderstadtwerke,,,,,,,,,,,,,Brühlstraße 41,70794,Filderstadt-Sielmingen,True,True
317,Fischereihafen-Betriebsgesellschaft mbH,,,,,,,,,,,,,Lengstraße 1,27572,Bremerhaven,True,True
318,Freiberger Stromversorgung GmbH,,,,,,,,,,,,,Poststraße 5,09599,Freiberg,True,True
319,Freisinger Stadtwerke Versorgungs-GmbH,,,,,,,,,,,,,Wippenhauser Str. 19,85354,Freising,True,True
320,GASPAR - eine Marke der rhenag Rheinische Energie AG,,,,,,,,,,,,,Bayenthalgürtel 9,50968,Köln,True,True
321,GEW Wilhelmshaven GmbH,,,,,,,,,,,,,Nahestraße 6,26382,Wilhelmshaven,True,True
322,GSW Gemeinschaftsstadtwerke GmbH Kamen - Bönen - Bergkamen,,,,,,,,,,,,,Poststraße 4,59174,Kamen,True,True
323,GWG Grevenbroich GmbH,,,,,,,,,,,,,Nordstrasse 36,41515,Grevenbroich,True,
324,Gas- und Wasserversorgung Höxter GmbH,,,,,,,,,,,,,Corveyer Allee 21,37671,Höxter,True,True
325,Gebrüder Eirich GmbH & Co KG Elektrizitätswerk,,,,,,,,,,,,,Walldürner Str. 50,74736,Hardheim,True,True
326,Gebrüder Heinzelmann Elektrizitätswerk GmbH & Co. KG,,,,,,,,,,,,,Halmeil 3,77709,Wolfach-Halbmeil,True,True
327,Gemeinde Heroldsbach Stromversorgung,,,,,,,,,,,,,Hauptstraße 9,91336,Heroldsbach,True,True
328,Gemeindewerk Hördt,,,,,,,,,,,,,Am Deutschordensplatz 1,76761,Rülzheim,True,True
329,Gemeindewerke Ammerbuch GmbH,,,,,,,,,,,,,Kirchstraße 6,72119,Ammerbuch,True,True
330,Gemeindewerke Bad Sassendorf GmbH & Co. KG,,,,,,,,,,,,,Eichendorffstraße 1,59505,Bad Sassendorf,True,True
331,Gemeindewerke Baiersbronn,,,,,,,,,,,,,Oberdorfstr. 46,72270,Baiersbronn,True,True
332,Gemeindewerke Bobenheim-Roxheim,,,,,,,,,,,,,Rathausplatz,67240,Bobenheim-Roxheim,True,True
333,Gemeindewerke Budenheim AöR,,,,,,,,,,,,,Untere Stefanstr. 65,55257,Budenheim,True,True
334,Gemeindewerke Frammersbach,,,,,,,,,,,,,Marktplatz 3 (Rathaus),97833,Frammersbach,True,True
335,Gemeindewerke Garmisch-Partenkirchen,,,,,,,,,,,,,Adlerstraße 25,82467,Garmisch-Partenkirchen,True,True
336,Gemeindewerke Georgensgmünd,,,,,,,,,,,,,Bahnhofstrasse 4,91166,Georgensgmünd,True,True
337,Gemeindewerke Großkrotzenburg GmbH,,,,,,,,,,,,,Anne-Frank-Platz 10,63538,Großkrotzenburg,True,True
338,Gemeindewerke Gundelfingen GmbH,,,,,,,,,,,,,Alte Bundesstr. 31,79194,Gundelfingen,True,True
339,Gemeindewerke Hünxe GmbH,,,,,,,,,,,,,In der Beckkuhl 4,46569,Hünxe,True,True
340,Gemeindewerke Heikendorf GmbH,,,,,,,,,,,,,Wasserwaage 1,24226,Heikendorf,True,True
341,Gemeindewerke Hermaringen,,,,,,,,,,,,,Karlstr. 12,89568,Hermaringen,True,True
342,Gemeindewerke Hohenwestedt GmbH,,,,,,,,,,,,,Am Gaswerk 8,24594,Hohenwestedt,True,True
343,Gemeindewerke Holzkirchen GmbH,,,,,,,,,,,,,Industriestraße 8,83607,Holzkirchen,True,True
344,Gemeindewerke Kiefersfelden,,,,,,,,,,,,,Kufsteiner Straße 17,83088,Kiefersfelden,True,True
345,Gemeindewerke Krickenbach c/o Stadtwerke Kaiserslautern Versorgungs-AG,,,,,,,,,,,,,Burgstraße 11,67659,Kaiserslautern,True,True
346,Gemeindewerke Leck GmbH,,,,,,,,,,,,,Büllsbüller Chaussee 7,25917,Leck,True,
347,Gemeindewerke Markt Lichtenau,,,,,,,,,,,,,Ansbacher Straße 11,91586,Lichtenau,True,True
348,Gemeindewerke Nüdlingen,,,,,,,,,,,,,Kissinger Str. 1,97720,Nüdlingen,True,True
349,Gemeindewerke Nümbrecht GmbH,,,,,,,,,,,,,Schulstraße 4,51588,Nümbrecht,True,True
350,Gemeindewerke Neuendettelsau,,,,,,,,,,,,,Johann-Flierl-Str. 19,91564,Neuendettelsau,True,True
351,Gemeindewerke Niefern-Öschelbronn,,,,,,,,,,,,,Friedenstraße 11,75223,Niefern-Öschelbronn,True,True
352,Gemeindewerke Oberaudorf Elektrizitäts- und Wasserwerk,,,,,,,,,,,,,Kranzhornstraße 2,83080,Oberaudorf,True,True
353,Gemeindewerke Oberhaching GmbH,,,,,,,,,,,,,Alpenstraße 11,82041,Oberhaching,True,True
354,Gemeindewerke Partenstein,,,,,,,,,,,,,Hauptstrasse 24,97846,Partenstein,True,True
355,Gemeindewerke Peißenberg KU,,,,,,,,,,,,,Forster Str. 19,82380,Peißenberg,True,True
356,Gemeindewerke Peiner Land GmbH & Co.KG,,,,,,,,,,,,,Woltorfer Straße 64,31224,Peine,True,True
357,Gemeindewerke Pleinfeld,,,,,,,,,,,,,Marktplatz 11,91785,Pleinfeld,True,True
358,Gemeindewerke Rückersdorf,,,,,,,,,,,,,Brunnenweg 9,90607,Rückersdorf,True,True
359,Gemeindewerke Rheinzabern,,,,,,,,,,,,,Hauptstraße 33,76764,Rheinzabern,True,True
360,Gemeindewerke Schönkirchen GmbH,,,,,,,,,,,,,Dorfstraße 4,24232,Schönkirchen,True,True
361,Gemeindewerke Schutterwald,,,,,,,,,,,,,Rathaus,77746,Schutterwald,True,True
362,Gemeindewerke Schwarzenbruck GmbH,,,,,,,,,,,,,Unterer Zeidlerweg 1,90537,Feucht,True,True
363,Gemeindewerke Sinzheim,,,,,,,,,,,,,Müllhofener Str. 22,76547,Sinzheim,True,True
364,Gemeindewerke Stammbach,,,,,,,,,,,,,Rathausstraße 7,95236,Stammbach,True,True
365,Gemeindewerke Steißlingen,,,,,,,,,,,,,Schulstr. 19,78256,Steißlingen,True,True
366,Gemeindewerke Steinhagen GmbH,,,,,,,,,,,,,Westernkamp 12,33803,Steinhagen,True,True
367,Gemeindewerke Stelzenberg c/o Stadtwerke Kaiserslautern Versorgungs-AG,,,,,,,,,,,,,Pirmasenser Straße 62,67655,Kaiserslautern,True,True
368,Gemeindewerke Stockelsdorf GmbH,,,,,,,,,,,,,Marienburgstraße 7,23617,Stockelsdorf,True,True
369,Gemeindewerke Taufkirchen (Vils) GmbH & Co. KG,,,,,,,,,,,,,Rathausplatz 1,84416,Taufkirchen (Vils),True,True
370,Gemeindewerke Umkirch GmbH,,,,,,,,,,,,,Vinzenz-Kremp-Weg 1,79224,Umkirch,True,True
371,Gemeindewerke Waging,,,,,,,,,,,,,Salzburger Str. 1,83329,Waging am See,True,True
372,Gemeindewerke Weidenthal,,,,,,,,,,,,,Ramsteiner Weg 2,67685,Weilerbach,True,True
373,Gemeindewerke Wendelstein,,,,,,,,,,,,,Nürnberger Straße 5,90530,Wendelstein,True,True
374,Gemeindewerke Wildeck Obersuhl,,,,,,,,,,,,,Eisenacher Straße 98,36208,Wildeck Obersuhl,True,True
375,Gemeindewerken Bovenden GmbH & Co. KG,,,,,,,,,,,,,Rathausplatz 1,37120,Bovenden,True,True
376,Gemeindl. Werke Hengersberg,,,,,,,,,,,,,Mimminger Straße 2,94491,Hengersberg,True,True
377,Gemeindliche Stromversorgung Röttenbach,,,,,,,,,,,,,Ringstr. 46,91341,Röttenbach,True,True
378,Georg Oest Mineralölwerk GmbH & Co KG,,,,,,,,,,,,,Georg-Oest-Str. 4,72250,Freudenstadt,True,True
379,Gewerbepark Nürnberg-Feucht Versorgungs- und Abwasserentsorgungs GmbH,,,,,,,,,,,,,Unterer Zeidlerweg 1,90537,Feucht,True,True
380,Greenline - alternative energien GmbH,,,,,,,,,,,,,Edelmannstr. 22,39218,Schönebeck,True,True
381,HAMBURG ENERGIE GmbH,,,,,,,,,,,,,Billhorner Deich 2,20539,Hamburg,True,True
382,HEW HofEnergie+Wasser GmbH,,,,,,,,,,,,,Unterkotzauer Weg 25,95028,Hof,True,True
383,HEWA GmbH,,,,,,,,,,,,,Wilhelm-Ulmer-Str. 12,91217,Hersbruck,True,True
384,Harz Energie GmbH & Co. KG,,,,,,,,,,,,,Lasfelder Str. 10,37520,Osterode,True,True
385,Havelstrom Zehdenick GmbH,,,,,,,,,,,,,Schleusenstraße 22,16792,Zehdenick,True,True
386,Heinrich Klöcker GmbH & Co.KG,,,,,,,,,,,,,Ahauser Straße 21,46325,Borken,True,True
387,Hellweg Energie GmbH - eine Marke der Stadtwerke Lippstadt GmbH,,,,,,,,,,,,,Bunsenstr. 2,59557,Lippstadt,True,True
388,Herzo Werke GmbH,,,,,,,,,,,,,Schießhausstraße 9,91074,Herzogenaurach,True,True
389,ILZHÖFERS Nachf. Inh. Walch KG,,,,,,,,,,,,,Siebentischstr. 16a,86161,Augsburg,True,True
390,Köthen Energie GmbH,,,,,,,,,,,,,Lelitzer Straße 27 b,06366,Köthen,True,True
391,KBG KraftstromBezugsgenossenschaft Homberg eG,,,,,,,,,,,,,Ostpreußenweg 5,34576,Homberg/Efzen,True,True
392,KEV Energie GmbH (Energie Nordeifel),,,,,,,,,,,,,Hindenburgstraße 13,53925,Kall,True,
393,KlickEnergie GmbH & Co. KG,,,,,,,,,,,,,Moselstraße 25-27,41464,Neuss,True,True
394,KommEnergie GmbH,,,,,,,,,,,,,Hauptplatz 4,82223,Eichenau,True,True
395,Kraftwerk Farchant A. Poettinger & Co KG,,,,,,,,,,,,,Esterbergstrasse 8,82490,Farchant,True,True
396,Kraftwerk Köhlgartenwiese GmbH,,,,,,,,,,,,,Tegernauer Ortsstrasse 9,79692,Kleines Wiesental,True,True
397,Kraftwerke Haag GmbH,,,,,,,,,,,,,Gabelsbergerstraße 25,83527,Haag i. OB,True,True
398,LSW Energie GmbH & Co. KG,,,,,,,,,,,,,Heßlinger Straße 1-5,38440,Wolfsburg,True,True
399,Licht- und Kraftwerke Helmbrechts GmbH,,,,,,,,,,,,,Münchberger Str. 65,95233,Helmbrechts,True,True
400,"Licht-, Kraft- und Wasserwerke Kitzingen GmbH",,,,,,,,,,,,,Wörthstraße 5,97318,Kitzingen,True,True
401,MVV Energie AG,,,,,,,,,,,,,Luisenring 49,68159,Mannheim,True,True
402,Maintal-Werke-GmbH,,,,,,,,,,,,,Neckarstraße 7,63477,Maintal-Dörnigheim,True,True
403,Mainzer Stadtwerke Vertrieb und Service GmbH,,,,,,,,,,,,,Rheinallee 41,55118,Mainz,True,True
404,Meißener Stadtwerke GmbH,,,,,,,,,,,,,Karl-Niesner-Str. 1,01662,Meißen,True,True
405,NEW AG,,,,,,,,,,,,,Odenkirchenerstr. 201,41236,Mönchengladbach,True,
406,NEW Tönisvorst GmbH,,,,,,,,,,,,,Ringstraße 1,47918,Tönisvorst,True,
407,NEW Viersen GmbH,,,,,,,,,,,,,Rektoratstraße 18,41747,Viersen,True,
408,NGW GmbH,,,,,,,,,,,,,Duisburger Straße 161-167,47166,Duisburg,True,True
409,Neander Energie GmbH,,,,,,,,,,,,,Wilhelmstraße 21,42489,Wülfrath,True,True
410,Neckermann Strom GmbH,,,,,,,,,,,,,Südportal 3,22848,Norderstedt,True,True
411,Neubrandenburger Stadtwerke GmbH,,,,,,,,,,,,,John-Schehr-Straße 1-5,17033,Neubrandenburg,True,True
412,Niedersachsen Ports GmbH & Co.KG Niederlassung Emden,,,,,,,,,,,,,Friedrich-Naumann-Str. 7-9,26725,Emden,True,True
413,Nienburg Energie GmbH,,,,,,,,,,,,,An der Breiten Riede 9,31582,Nienburg,True,True
414,NiersEnergie GmbH - eine Marke der Stadtwerke Kevelaer,,,,,,,,,,,,,Kroatenstr. 125,47623,Kevelaer,True,True
415,Niestetal Energie - eine Marke der Städtische Werke Kassel AG,,,,,,,,,,,,,Heiligenröder Str. 70,34266,Niestetal,True,True
416,Osterholzer Stadtwerke GmbH & Co. KG,,,,,,,,,,,,,Am Pumpelberg 4,27711,Osterholz-Scharmbeck,True,True
417,ROTHMOSER GMBH & CO. KG,,,,,,,,,,,,,Am Urtelbach 4,85567,Grafing bei München,True,True
418,Remstalwerk GmbH & Co. KG,,,,,,,,,,,,,Schillerstr. 30,73630,Remshalden,True,True
