,Firmenname,Grüner Strom,OK Power,Ökotest,EcoTopTen,Utopia,Stromauskunft echter Oekostrom,Firmenanschrift_x,PLZ_x,Firmenort_x,Telefon,Website,Verfügbarkeit,Firmenanschrift_y,PLZ_y,Firmenort_y,Stromauskunft,Verivox
43,ESDG Energie-Service Dienstleistungsgesellschaft mbH,True,True,,,,,Tullastr. 61,79108,Freiburg, ,www.esdg.de,bundesweit,,,,,
44,ESWE Versorgungs AG,,True,,,,,Konradinerallee 25,65189,Wiesbaden, ,www.eswe-versorgung.de,,Konradinerallee 25,65189,Wiesbaden,True,True
45,EVH Energieversorgung Halle GmbH,,True,True,True,,,Bornknechtstraße 5,06108,Halle (Saale),0800 581 33 33,www.evh.de,,,,,,
46,EWS Elektrizitätswerke Schönau eG / EWS Vertriebs GmbH,,True,True,True,True,True,Friedrichstr. 53/55,79677,Schönau im Schwarzwald,07673 88850,www.ews-schoenau.de,,,,,,
47,Fair Trade Power Deutschland GmbH,True,,True,True,True,,,,,089 2112210,www.fairtradepower.de,bundesweit,,,,,True
48,Gemeindewerke Bad Sassendorf GmbH,,True,,,,,Eichendorffstraße 1,59505,Bad Sassendorf,02921 50581,,,,,,,
49,Gemeindewerke Bobenheim-Roxheim GmbH,True,,,,,,,,,06233 6020,www.gemeindewerke-boro.de,regional,,,,,
50,Gemeindewerke Halstenbek,True,,,,,,,,,04101 4907112,www.gwhalstenbek.de,regional,Ostereschweg 9,25469,Halstenbek,True,True
51,Gemeindewerke Hardt,True,,,,,,,,,07422 95880,www.hardt-online.de/gemeindewerke,regional,Mariazeller Str. 1,78739,Hardt,True,True
52,Gemeindewerke Haßloch GmbH,True,,,,,,,,,06324 59940,www.gwhassloch.de,regional,Gottlieb-Duttenhöfer-Straße 27,67454,Haßloch,True,True
53,Gemeindewerke Herxheim,True,,,,,,,,,07276 50140,www.gemeindewerke-herxheim.de,regional,Am Rathaus 6,76863,Herxheim,True,True
54,Gemeindewerke Lambsheim,True,,,,,,,,,06233 51090,www.lambsheim-hessheim.de,regional,,,,,
55,Gemeindewerke Münchweiler,True,,,,,,,,,06395 92110,www.gemeindewerke-muenchweiler.de,regional,,,,,
56,Gemeindewerke Ruppichteroth GmbH,,True,,,,,Brölstraße 5,53809,Ruppichteroth,02295 907000,,,,,,,
57,Gemeindewerke Waldfischbach-Burgalben,True,,,,,,,,,06333 27580,www.energie.waldfischbach-burgalben.de,regional,,,,,True
58,GENO Energie GmbH,,,True,True,,,,,,,,,,,,,
59,Georg Oest Mineralölwerk GmbH & Co. KG,,True,,,,,Georg-Oest-Str. 4,72250,Freudenstadt,0744 1539112,www.oest.de,,,,,,
60,Greenpeace Energy eG,,True,True,True,True,True,Hongkongstr. 10,20457,Hamburg,040 808 110600,www.greenpeace-energy.de,,Hongkongstr. 10,20457,Hamburg,True,True
61,GWS Stadtwerke Hameln GmbH,True,,,,,,,,,05151 7880,www.stadtwerke-hameln.de/,regional,Hafenstrasse 14,31785,Hameln,True,True
62,Heinrich Klöcker GmbH & Co. KG,,True,,,,,Ahauser Str. 21,46325,Borken,0286 1800744,www.kloecker.de,,,,,,
63,Hellweg Energie GmbH,,True,,,,,Bunsenstrasse 2,59557,Lippstadt,0241 282 9233,www.hellwegenergie.de,,,,,,
64,Hermann Bantleon GmbH,,True,,,,,Blaubeurer Straße 32,89077,Ulm/Donau,0731 3990190,www.bantleon.de,,,,,,
65,HKD Handelsgesellschaft für Kirche und Diakonie mbH,,True,,,,,Herzog-Friedrich-Str. 45,24103,Kiel,0431 54 448844,www.hkd.de,,,,,,
66,Hochsauerland Energie GmbH,,True,,,,,Auf'm Brinke 11,59872,Meschede,0290 4712 8011,www.hochsauerlandenergie.de,,,,,,
67,KESLAR GmbH Energiehandel,,True,,,,,Ostbahnhofstr. 1,87437,Kempten,0831 5753027,www.keslar.de,,,,,,
68,LichtBlick SE,,True,True,True,True,,Zirkusweg 6,20359,Hamburg,040 80803030,www.lichtblick.de,,Zirkusweg 6,20359,Hamburg,True,True
69,lLZHÖFERS Nachf. lnh. Walch KG,,True,,,,,Siebentischstr. 16a,86161,Augsburg,0821 5608027,www.ilzhoefer.com,,,,,,
70,Mainova AG,True,,,,,,,,,0800 1144488,www.mainova.de,regional,Solmsstr. 38,60486,Frankfurt am Main,True,True
71,MANN Naturenergie GmbH & Co. KG,True,,True,True,True,True,Schulweg 8 - 14,57520,Langenbach,02661 626215,www.mannstrom.de,bundesweit,Schulweg 8 - 14,57520,Langenbach,True,True
72,Mark-E AG,,True,,,,,Körnerstraße 40,58095,Hagen,0800 123 1000,www.mark-e.de,,,,,,
73,MEGA Monheimer Elektrizitäts- und Gasversorgung GmbH,,True,,,,,Rheinpromenade 3a,40789,Monheim am Rhein,02173 9520222,www.mega-monheim.de,,Daimlerstr. 10a,40789,Monheim am Rhein,True,True
74,Mindener Stadtwerke GmbH,True,,,,,,,,,0800 5278941,www.mindener-stadtwerke.de,regional,Großer Domhof 3,32423,Minden,True,True
75,NaturEnergie + Deutschland GmbH,True,,,,,,,,,0800 9999973,www.naturenergieplus.de/,bundesweit,,,,,
76,NATURSTROM AG/ NaturStromHandel GmbH,True,,True,True,True,True,,,,0211 77 900 100,www.naturstrom.de,bundesweit,,,,,
77,NEW Niederrhein Energie und Wasser GmbH,True,,,,,,,,,0800 6886881,www.new-energie.de,regional,Odenkirchener Str. 201,41236,Mönchengladbach,True,True
