Firmenname,Grüner Strom,OK Power,Stromauskunft,Verivox,Ökotest,EcoTopTen,Utopia,Stromauskunft echter Oekostrom,Telefon,Website,Verfügbarkeit,Firmenanschrift,PLZ,Firmenort
Fair Trade Power Deutschland GmbH,True,,,True,True,True,True,,089 2112210,www.fairtradepower.de,bundesweit,,,
FaNergie - eine Marke der Stadtwerke Freiberg am Neckar Vertriebs-GmbH,,,,True,,,,,,,,,,
Feuchter Gemeindewerke GmbH,,,True,True,,,,,,,,Unterer Zeidlerweg 1,90537,Feucht
Filderstadtwerke,,,True,True,,,,,,,,Brühlstraße 41,70794,Filderstadt-Sielmingen
Fischereihafen-Betriebsgesellschaft mbH,,,True,True,,,,,,,,Lengstraße 1,27572,Bremerhaven
FischerStrom KG,,,,True,,,,,,,,,,
Fohlenstrom - eine Marke der NEW Niederrhein Energie und Wasser GmbH,,,,True,,,,,,,,,,
Freiberger Stromversorgung GmbH,,,True,True,,,,,,,,Poststraße 5,09599,Freiberg
Freisinger Stadtwerke Versorgungs-GmbH,,,True,True,,,,,,,,Wippenhauser Str. 19,85354,Freising
FREITALER STROM+GAS GMBH,,,True,True,,,,,,,,Potschappler Straße 2,01705,Freital/Sachsen
friesenenergie GmbH,,,,True,,,,,,,,,,
Fulda-Eder Energie GmbH & Co. KG - eine Marke der Städtische Werke Kassel AG,,,,True,,,,,,,,,,
fünfwerke GmbH & Co. KG,,,,True,,,,,,,,,,
Fürstlich Fugger v. Glött'sche E-Werks GmbH & Co. KG,,,,True,,,,,,,,,,
Fuxx-Die Sparenergie GmbH,,,,True,,,,,,,,,,
Gammertinger Energie- und Wasserversorgung GmbH,,,,True,,,,,,,,,,
GASAG AG,,,,True,,,,,,,,,,
GAS IN GmbH,,,,True,,,,,,,,,,
GASPAR - eine Marke der rhenag Rheinische Energie AG,,,True,True,,,,,,,,Bayenthalgürtel 9,50968,Köln
Gas- und Energiegenossenschaft Ost- und Mitteldeutschland eG,,,,True,,,,,,,,,,
Gas- und Wärmedienst Börnsen GmbH,,,,True,,,,,,,,,,
Gas- und Wasserversorgung Höxter GmbH,,,True,True,,,,,,,,Corveyer Allee 21,37671,Höxter
Gasversorgungsgesellschaft mbH Rhein-Erft (GVG),,,,True,,,,,,,,,,
Gebrüder Eirich GmbH & Co KG Elektrizitätswerk,,,True,True,,,,,,,,Walldürner Str. 50,74736,Hardheim
Gebrüder Heinzelmann Elektrizitätswerk GmbH & Co. KG,,,True,True,,,,,,,,Halmeil 3,77709,Wolfach-Halbmeil
Gebrüder Miller KG Elektrizitätsversorgung,,,,True,,,,,,,,,,
Gemeinde-Elektrizitäts- und Wasserwerk-Werk Burtenbach,,,,True,,,,,,,,,,
Gemeinde Heroldsbach Stromversorgung,,,True,True,,,,,,,,Hauptstraße 9,91336,Heroldsbach
Gemeindewerke Ammerbuch GmbH,,,True,True,,,,,,,,Kirchstraße 6,72119,Ammerbuch
Gemeindewerke Bad Sassendorf GmbH & Co. KG,,True,True,True,,,,,02921 50581,,,Eichendorffstraße 1,59505,Bad Sassendorf
Gemeindewerke Baiersbronn,,,True,True,,,,,,,,Oberdorfstr. 46,72270,Baiersbronn
Gemeindewerke Bayerisch Gmain,,,,True,,,,,,,,,,
Gemeindewerke Bobenheim-Roxheim,,,True,True,,,,,,,,Rathausplatz,67240,Bobenheim-Roxheim
Gemeindewerke Bobenheim-Roxheim GmbH,True,,,,,,,,06233 6020,www.gemeindewerke-boro.de,regional,,,
Gemeindewerke Brüggen GmbH,,,,True,,,,,,,,,,
Gemeindewerke Budenheim AöR,,,True,True,,,,,,,,Untere Stefanstr. 65,55257,Budenheim
Gemeindewerke Cadolzburg,,,,True,,,,,,,,,,
Gemeindewerke Dudenhofen,,,,True,,,,,,,,,,
Gemeindewerke Ebersdorf,,,,True,,,,,,,,,,
Gemeindewerke Eppelborn GmbH & Co. KG,,,,True,,,,,,,,,,
Gemeindewerke Everswinkel GmbH,,,,True,,,,,,,,,,
Gemeindewerke Frammersbach,,,True,True,,,,,,,,Marktplatz 3 (Rathaus),97833,Frammersbach
Gemeindewerke Gangkofen,,,,True,,,,,,,,,,
Gemeindewerke Garmisch-Partenkirchen,,,True,True,,,,,,,,Adlerstraße 25,82467,Garmisch-Partenkirchen
Gemeindewerke Georgensgmünd,,,True,True,,,,,,,,Bahnhofstrasse 4,91166,Georgensgmünd
Gemeindewerke Grefrath GmbH,,,,True,,,,,,,,,,
Gemeindewerke Großkrotzenburg GmbH,,,True,True,,,,,,,,Anne-Frank-Platz 10,63538,Großkrotzenburg
Gemeindewerke Gundelfingen GmbH,,,True,True,,,,,,,,Alte Bundesstr. 31,79194,Gundelfingen
Gemeindewerke Halstenbek,True,,True,True,,,,,04101 4907112,www.gwhalstenbek.de,regional,Ostereschweg 9,25469,Halstenbek
Gemeindewerke Hardt,True,,True,True,,,,,07422 95880,www.hardt-online.de/gemeindewerke,regional,Mariazeller Str. 1,78739,Hardt
Gemeindewerke Haßloch GmbH,True,,True,True,,,,,06324 59940,www.gwhassloch.de,regional,Gottlieb-Duttenhöfer-Straße 27,67454,Haßloch
Gemeindewerke Heikendorf GmbH,,,True,True,,,,,,,,Wasserwaage 1,24226,Heikendorf
Gemeindewerke Hermaringen,,,True,True,,,,,,,,Karlstr. 12,89568,Hermaringen
Gemeindewerke Herxheim,True,,True,True,,,,,07276 50140,www.gemeindewerke-herxheim.de,regional,Am Rathaus 6,76863,Herxheim
Gemeindewerke Heusweiler GmbH,,,,True,,,,,,,,,,
Gemeindewerke Hohenwestedt GmbH,,,True,True,,,,,,,,Am Gaswerk 8,24594,Hohenwestedt
Gemeindewerke Holzkirchen GmbH,,,True,True,,,,,,,,Industriestraße 8,83607,Holzkirchen
Gemeindewerke Hünxe GmbH,,,True,True,,,,,,,,In der Beckkuhl 4,46569,Hünxe
Gemeindewerke Hütschenhausen c/o Stadtwerke Ramstein-Miesenbach,,,,True,,,,,,,,,,
Gemeindewerke Kahl Versorgungsgesellschaft mbH,,,,True,,,,,,,,,,
Gemeindewerke Kiefersfelden,,,True,True,,,,,,,,Kufsteiner Straße 17,83088,Kiefersfelden
Gemeindewerke Kirkel GmbH,,,,True,,,,,,,,,,
Gemeindewerke Kleinblittersdorf GmbH & Co. KG,,,,True,,,,,,,,,,
Gemeindewerke Krauchenwies,,,,True,,,,,,,,,,
Gemeindewerke Krickenbach c/o Stadtwerke Kaiserslautern Versorgungs-AG,,,True,True,,,,,,,,Burgstraße 11,67659,Kaiserslautern
Gemeindewerke Lam,,,,True,,,,,,,,,,
Gemeindewerke Lambsheim,True,,,,,,,,06233 51090,www.lambsheim-hessheim.de,regional,,,
Gemeindewerke Leck GmbH,,,True,,,,,,,,,Büllsbüller Chaussee 7,25917,Leck
Gemeindewerke Malente,,,,True,,,,,,,,,,
Gemeindewerke Markt Lichtenau,,,True,True,,,,,,,,Ansbacher Straße 11,91586,Lichtenau
Gemeindewerke Markt Stockstadt am Main,,,,True,,,,,,,,,,
Gemeindewerke Münchweiler,True,,,,,,,,06395 92110,www.gemeindewerke-muenchweiler.de,regional,,,
Gemeindewerke Münchweiler AöR,,,,True,,,,,,,,,,
Gemeindewerken Bovenden GmbH & Co. KG,,,True,True,,,,,,,,Rathausplatz 1,37120,Bovenden
Gemeindewerke Neuendettelsau,,,True,True,,,,,,,,Johann-Flierl-Str. 19,91564,Neuendettelsau
Gemeindewerke Niefern-Öschelbronn,,,True,True,,,,,,,,Friedenstraße 11,75223,Niefern-Öschelbronn
Gemeindewerke Nüdlingen,,,True,True,,,,,,,,Kissinger Str. 1,97720,Nüdlingen
Gemeindewerke Nümbrecht GmbH,,,True,True,,,,,,,,Schulstraße 4,51588,Nümbrecht
Gemeindewerke Oberaudorf Elektrizitäts- und Wasserwerk,,,True,True,,,,,,,,Kranzhornstraße 2,83080,Oberaudorf
Gemeindewerke Oberhaching GmbH,,,True,True,,,,,,,,Alpenstraße 11,82041,Oberhaching
Gemeindewerke Partenstein,,,True,True,,,,,,,,Hauptstrasse 24,97846,Partenstein
Gemeindewerke Peiner Land GmbH & Co.KG,,,True,True,,,,,,,,Woltorfer Straße 64,31224,Peine
Gemeindewerke Peißenberg KU,,,True,True,,,,,,,,Forster Str. 19,82380,Peißenberg
Gemeindewerke Pleinfeld,,,True,True,,,,,,,,Marktplatz 11,91785,Pleinfeld
Gemeindewerke Rheinzabern,,,True,True,,,,,,,,Hauptstraße 33,76764,Rheinzabern
Gemeindewerke Rückersdorf,,,True,True,,,,,,,,Brunnenweg 9,90607,Rückersdorf
Gemeindewerke Ruppichteroth GmbH,,True,,True,,,,,02295 907000,,,Brölstraße 5,53809,Ruppichteroth
Gemeindewerke Schönkirchen GmbH,,,True,True,,,,,,,,Dorfstraße 4,24232,Schönkirchen
Gemeindewerke Schutterwald,,,True,True,,,,,,,,Rathaus,77746,Schutterwald
Gemeindewerke Schwarzenbruck GmbH,,,True,True,,,,,,,,Unterer Zeidlerweg 1,90537,Feucht
Gemeindewerke Sinzheim,,,True,True,,,,,,,,Müllhofener Str. 22,76547,Sinzheim
Gemeindewerke St. Michel-Energie GmbH,,,,True,,,,,,,,,,
Gemeindewerke Stammbach,,,True,True,,,,,,,,Rathausstraße 7,95236,Stammbach
Gemeindewerke Steinhagen GmbH,,,True,True,,,,,,,,Westernkamp 12,33803,Steinhagen
Gemeindewerke Steißlingen,,,True,True,,,,,,,,Schulstr. 19,78256,Steißlingen
Gemeindewerke Stelzenberg c/o Stadtwerke Kaiserslautern Versorgungs-AG,,,True,True,,,,,,,,Pirmasenser Straße 62,67655,Kaiserslautern
Gemeindewerke Stockelsdorf GmbH,,,True,True,,,,,,,,Marienburgstraße 7,23617,Stockelsdorf
Gemeindewerke Taufkirchen (Vils) GmbH & Co. KG,,,True,True,,,,,,,,Rathausplatz 1,84416,Taufkirchen (Vils)
Gemeindewerke Thüngen,,,,True,,,,,,,,,,
Gemeindewerke Umkirch GmbH,,,True,True,,,,,,,,Vinzenz-Kremp-Weg 1,79224,Umkirch
Gemeindewerke Waging,,,True,True,,,,,,,,Salzburger Str. 1,83329,Waging am See
Gemeindewerke Waldfischbach-Burgalben,True,,,True,,,,,06333 27580,www.energie.waldfischbach-burgalben.de,regional,,,
Gemeindewerke Weidenthal,,,True,True,,,,,,,,Ramsteiner Weg 2,67685,Weilerbach
Gemeindewerke Wendelstein,,,True,True,,,,,,,,Nürnberger Straße 5,90530,Wendelstein
Gemeindewerke Wickede (Ruhr) GmbH,,,,True,,,,,,,,,,
Gemeindewerke Wildeck Obersuhl,,,True,True,,,,,,,,Eisenacher Straße 98,36208,Wildeck Obersuhl
Gemeindewerke Wilhermsdorf,,,,True,,,,,,,,,,
Gemeindewerk Hördt,,,True,True,,,,,,,,Am Deutschordensplatz 1,76761,Rülzheim
Gemeindewerk Kaufungen GmbH & Co. KG - eine Marke der Städtische Werke AG Kassel,,,,True,,,,,,,,,,
Gemeindl. Werke Hengersberg,,,True,True,,,,,,,,Mimminger Straße 2,94491,Hengersberg
Gemeindliche Stromversorgung Röttenbach,,,True,True,,,,,,,,Ringstr. 46,91341,Röttenbach
gemeinsames Kommunalunternehmen Oberes Egertal,,,True,True,,,,,,,,Wunsiedler Straße 30,95163,Weißenstadt
GENO Energie GmbH,,,,,True,True,,,,,,,,
GEO Gesellschaft für Energieversorgung Ostalb mbH,,,,True,,,,,,,,,,
Georg Oest Mineralölwerk GmbH & Co KG,,True,True,True,,,,,0744 1539112,www.oest.de,,Georg-Oest-Str. 4,72250,Freudenstadt
Getreidemühle Zwiefalten e.G.,,,,True,,,,,,,,,,
Gewerbepark Nürnberg-Feucht Versorgungs- und Abwasserentsorgungs GmbH,,,True,True,,,,,,,,Unterer Zeidlerweg 1,90537,Feucht
GEW Wilhelmshaven GmbH,,,True,True,,,,,,,,Nahestraße 6,26382,Wilhelmshaven
GGEW Gruppen-Gas- und Elektrizitätswerk Bergstraße AG,,,True,True,,,,,,,,Dammstr. 68,64625,Bensheim
goldgas GmbH,,,,True,,,,,,,,,,
Greenline - alternative energien GmbH,,,True,True,,,,,,,,Edelmannstr. 22,39218,Schönebeck
Greenpeace Energy eG,,True,True,True,True,True,True,True,040 808 110600,www.greenpeace-energy.de,,Hongkongstr. 10,20457,Hamburg
grün.power GmbH,,,True,True,,,,,,,,An der Fahrt 5,55124,Mainz
Grüner Funke - eine Marke der Fuxx-Die Sparenergie GmbH,,,,True,,,,,,,,,,
grünES GmbH,,,,True,,,,,,,,,,
Grünstromwerk Vertriebs GmbH,,,True,True,,,,,,,,Englische Planke 2,20459,Hamburg
Grünwelt - eine Marke der Stromio GmbH,,,True,True,,,,,,,,Girmes-Kreuz-Str. 55,41564,Kaarst
Grünwelt Wärmestrom GmbH,,,,True,,,,,,,,,,
GSW Gemeinschaftsstadtwerke GmbH Kamen - Bönen - Bergkamen,,,True,True,,,,,,,,Poststraße 4,59174,Kamen
Gut & Grün - eine Marke der Stadtwerke Bochum GmbH,,,,True,,,,,,,,,,
GWG Grevenbroich GmbH,,,True,,,,,,,,,Nordstrasse 36,41515,Grevenbroich
GWS Stadtwerke Hameln GmbH,True,,True,True,,,,,05151 7880,www.stadtwerke-hameln.de/,regional,Hafenstrasse 14,31785,Hameln
Halberstadtwerke GmbH,,,,True,,,,,,,,,,
HAMBURG ENERGIE GmbH,,,True,True,,,,,,,,Billhorner Deich 2,20539,Hamburg
Harz Energie GmbH & Co. KG,,,True,True,,,,,,,,Lasfelder Str. 10,37520,Osterode
Havelstrom Zehdenick GmbH,,,True,True,,,,,,,,Schleusenstraße 22,16792,Zehdenick
Heinrich Klöcker GmbH & Co. KG,,True,True,True,,,,,0286 1800744,www.kloecker.de,,Ahauser Straße 21,46325,Borken
Heldenstrom - eine Marke der 24/7 Energie & Kommunikation GmbH,,,,True,,,,,,,,,,
Hellweg Energie GmbH - eine Marke der Stadtwerke Lippstadt GmbH,,True,True,True,,,,,0241 282 9233,www.hellwegenergie.de,,Bunsenstr. 2,59557,Lippstadt
Hermann Bantleon GmbH,,True,,,,,,,0731 3990190,www.bantleon.de,,,,
Hermann Geuder Elektrizitätswerk,,,,True,,,,,,,,,,
Hertener Stadtwerke GmbH,,,,True,,,,,,,,,,
Herzo Werke GmbH,,,True,True,,,,,,,,Schießhausstraße 9,91074,Herzogenaurach
hev Hohenloher Energie Versorgung GmbH,,,,True,,,,,,,,,,
HEWA GmbH,,,True,True,,,,,,,,Wilhelm-Ulmer-Str. 12,91217,Hersbruck
HEW HofEnergie+Wasser GmbH,,,True,True,,,,,,,,Unterkotzauer Weg 25,95028,Hof
HKD Handelsgesellschaft für Kirche und Diakonie mbH,,True,,,,,,,0431 54 448844,www.hkd.de,,Herzog-Friedrich-Str. 45,24103,Kiel
Hochsauerland Energie GmbH,,True,,True,,,,,0290 4712 8011,www.hochsauerlandenergie.de,,Auf'm Brinke 11,59872,Meschede
Hoyer Strom und Erdgas GmbH,,,,True,,,,,,,,,,
idealenergie - eine Marke der 365 AG,,,,True,,,,,,,,,,
illwerke vkw AG,,,,True,,,,,,,,,,
ILZHÖFERS Nachf. Inh. Walch KG,,True,True,True,,,,,0821 5608027,www.ilzhoefer.com,,Siebentischstr. 16a,86161,Augsburg
immergrün! Energie - eine Marke der 365 AG,,,,True,,,,,,,,,,
In(n) Energie GmbH,,,,True,,,,,,,,,,
infra fürth gmbh,,,True,True,,,,,,,,Leyher Straße 69,90763,Fürth
INNergie - eine Marke der Stadtwerke Rosenheim Versorgungs GmbH,,,,True,,,,,,,,,,
INNERSTE ENERGIE - eine Marke der WEVG Salzgitter GmbH & Co. KG,,,,True,,,,,,,,,,
innogy Direkt GmbH,,,,True,,,,,,,,,,
innogy SE,,,,True,,,,,,,,,,
KBG KraftstromBezugsgenossenschaft Homberg eG,,,True,True,,,,,,,,Ostpreußenweg 5,34576,Homberg/Efzen
KEEP - Kommunale Eisenberger Energiepartner GmbH,,,,True,,,,,,,,,,
KESLAR GmbH Energiehandel,,True,,True,,,,,0831 5753027,www.keslar.de,,Ostbahnhofstr. 1,87437,Kempten
KEV Energie GmbH (Energie Nordeifel),,,True,,,,,,,,,Hindenburgstraße 13,53925,Kall
KEW Karwendel Energie & Wasser GmbH,,,,True,,,,,,,,,,
KEW Kommunale Energie- und Wasserversorgung AG,,,,True,,,,,,,,,,
KlickEnergie GmbH & Co. KG,,,True,True,,,,,,,,Moselstraße 25-27,41464,Neuss
Klimaschutz+ Energiegenossenschaft,,,,,True,,,True,,,,,,
Knauber Strom - eine Marke der Knauber Erdgas GmbH,,,,True,,,,,,,,,,
KommEnergie GmbH,,,True,True,,,,,,,,Hauptplatz 4,82223,Eichenau
Köthen Energie GmbH,,,True,True,,,,,,,,Lelitzer Straße 27 b,06366,Köthen
Kraftwerke Haag GmbH,,,True,True,,,,,,,,Gabelsbergerstraße 25,83527,Haag i. OB
Kraftwerk Farchant A. Poettinger & Co KG,,,True,True,,,,,,,,Esterbergstrasse 8,82490,Farchant
Kraftwerk Köhlgartenwiese GmbH,,,True,True,,,,,,,,Tegernauer Ortsstrasse 9,79692,Kleines Wiesental
Kreiswerke Main-Kinzig GmbH,,,,True,,,,,,,,,,
Kröger Management GmbH & Co. Windpark Francop KG - in Kooperation mit der enyway GmbH,,,,True,,,,,,,,,,
Lechwerke AG,,,,True,,,,,,,,,,
LE Energy Solutions GmbH,,,,True,,,,,,,,,,
lekker Energie GmbH,,,True,True,,,,,,,,Invalidenstraße 17 a,10115,Berlin
Leu Energie GmbH & Co. KG,,,,True,,,,,,,,,,
"Licht-, Kraft- und Wasserwerke Kitzingen GmbH",,,True,True,,,,,,,,Wörthstraße 5,97318,Kitzingen
LichtBlick,,,,,True,True,True,,,,,,,
LichtBlick SE,,True,True,True,True,true,True,,040 80803030,www.lichtblick.de,,Zirkusweg 6,20359,Hamburg
Licht- und Kraftwerke Helmbrechts GmbH,,,True,True,,,,,,,,Münchberger Str. 65,95233,Helmbrechts
Licht- und Kraftwerke Sonneberg GmbH,,,,True,,,,,,,,,,
LogoEnergie GmbH,,,True,True,,,,,,,,Münsterstraße 9,53881,Euskirchen
LSW Energie GmbH & Co. KG,,,True,True,,,,,,,,Heßlinger Straße 1-5,38440,Wolfsburg
LUDVIKK - eine Marke von TWL Energie Deutschland GmbH,,,,True,,,,,,,,,,
LÜNESTROM - eine Marke der FIRSTCON GmbH,,,,True,,,,,,,,,,
MAINGAU Energie GmbH,,,True,True,,,,,,,,Ringstraße 4 - 6,63179,Obertshausen
Mainova AG,True,,True,True,,,,,0800 1144488,www.mainova.de,regional,Solmsstr. 38,60486,Frankfurt am Main
Maintal-Werke-GmbH,,,True,True,,,,,,,,Neckarstraße 7,63477,Maintal-Dörnigheim
Mainzer Stadtwerke Vertrieb und Service GmbH,,,True,True,,,,,,,,Rheinallee 41,55118,Mainz
MANN Naturenergie GmbH & Co. KG,True,,True,True,True,True,True,True,02661 626215,www.mannstrom.de,bundesweit,Schulweg 8 - 14,57520,Langenbach
Mark-E Aktiengesellschaft,,True,True,True,,,,,0800 123 1000,www.mark-e.de,,Körnerstraße 40,58095,Hagen
medl GmbH,,,,True,,,,,,,,,,
MEGA Monheimer Elektrizitäts- und Gasversorgung GmbH,,True,True,True,,,,,02173 9520222,www.mega-monheim.de,,Daimlerstr. 10a,40789,Monheim am Rhein
meine StadtEnergie - eine Marke der Urbania GmbH,,,True,True,,,,,,,,Breitwieserweg 5,69469,Weinheim
meinheizstrom.de - eine Marke der E.VITA GmbH,,,,True,,,,,,,,,,
Meißener Stadtwerke GmbH,,,True,True,,,,,,,,Karl-Niesner-Str. 1,01662,Meißen
Mindener Stadtwerke GmbH,True,,True,True,,,,,0800 5278941,www.mindener-stadtwerke.de,regional,Großer Domhof 3,32423,Minden
MONTANA Energieversorgung GmbH & Co. KG,,,True,True,,,,,,,,Dr.-Max-Straße 26,82031,Grünwald
MVV Energie AG,,,True,True,,,,,,,,Luisenring 49,68159,Mannheim
NaturEnergie + Deutschland GmbH,True,,,,,,,,0800 9999973,www.naturenergieplus.de/,bundesweit,,,Mühlacker
NatürlichEnergie EMH GmbH,,,,True,,,,,,,,,,
natürlich grün - eine Marke der Smiling Green Energy GmbH,,,True,True,,,,,,,,Grubesallee 24,22143,Hamburg
NATURSTROM AG/ NaturStromHandel GmbH,True,,True,True,True,True,True,True,0211 77 900 100,www.naturstrom.de,bundesweit,Parsevalstraße 11,40468,Düsseldorf
Neander Energie GmbH,,,True,True,,,,,,,,Wilhelmstraße 21,42489,Wülfrath
Neckermann Strom GmbH,,,True,True,,,,,,,,Südportal 3,22848,Norderstedt
N-ERGIE Aktiengesellschaft,,,,True,,,,,,,,,,
Neubrandenburger Stadtwerke GmbH,,,True,True,,,,,,,,John-Schehr-Straße 1-5,17033,Neubrandenburg
NEW Niederrhein Energie und Wasser GmbH,True,,True,True,,,,,0800 6886881,www.new-energie.de,regional,Odenkirchener Str. 201,41236,Mönchengladbach
NEW Tönisvorst GmbH,,,True,,,,,,,,,Ringstraße 1,47918,Tönisvorst
NEW Viersen GmbH,,,True,,,,,,,,,Rektoratstraße 18,41747,Viersen
NGW GmbH,,,True,True,,,,,,,,Duisburger Straße 161-167,47166,Duisburg
Niedersachsen Ports GmbH & Co.KG Niederlassung Emden,,,True,True,,,,,,,,Friedrich-Naumann-Str. 7-9,26725,Emden
Nienburg Energie GmbH,,,True,True,,,,,,,,An der Breiten Riede 9,31582,Nienburg
NiersEnergie GmbH - eine Marke der Stadtwerke Kevelaer,,,True,True,,,,,,,,Kroatenstr. 125,47623,Kevelaer
Niestetal Energie - eine Marke der Städtische Werke Kassel AG,,,True,True,,,,,,,,Heiligenröder Str. 70,34266,Niestetal
NN,,,,,,True,,,,,,,,
Nord Stadtwerke GmbH,,,,True,True,True,,,,,,,,
normenergie - eine Marke der GFM Gesellschaft für Messdienstleistungen mbH,,,,True,,,,,,,,,,
nvb Nordhorner Versorgungsbetriebe GmbH,,,,True,,,,,,,,,,
Oberhessische Versorgungsbetriebe AG,,,True,True,,,,,,,,Hanauer Straße 9-13,61169,Friedberg
Ohra Energie GmbH,,,,True,,,,,,,,,,
OIE AG,,,,True,,,,,,,,,,
Ökostromer Edingen-Neckarhausen ,,,,,True,,True,True,,,,,,
ORIGINAL ENERGIE - eine Marke der Stadtwerke Oranienburg GmbH,,,,True,,,,,,,,,,
OrtenauEnergie - eine Marke des E-Werk Mittelbaden,,,,True,,,,,,,,,,
Osterholzer Stadtwerke GmbH & Co. KG,,,True,True,,,,,,,,Am Pumpelberg 4,27711,Osterholz-Scharmbeck
Osterland Energie - eine Marke der Energie- und Wasserversorgung Altenburg GmbH,,,,True,,,,,,,,,,
Otto Fricke & Co. GmbH,,True,,,,,,,05241 10054,www.fricke-oil.de,,Kaiserstr. 36,33330,Gütersloh
ourPOWER - eine Marke der infra fürth gmbh,,,,True,,,,,,,,,,
PaderEnergy - eine Marke der LSW Energie GmbH & Co. KG,,,,True,,,,,,,,,,
PassatEnergie GmbH,,,,True,,,,,,,,,,
Pfalzwerke AG,True,,True,True,,,,,0800 2792000,www.pfalzwerke.de,regional,Kurfürstenstr. 29,67061,Ludwigshafen
PFALZWERKE AKTIENGESELLSCHAFT,True,,,,,,,,0800 2792000,www.pfalzwerke.de,regional,,,
phönixstrom von der PCS GmbH in Kooperation mit der Energiegenossenschaft Rhein-Ruhr eG,,,,True,,,,,,,,,,
Polarstern GmbH,True,,,True,True,True,True,True,089 309042911,www.polarstern-energie.de/oekostrom/,bundesweit,,,
priostrom - eine Marke der ExtraEnergie GmbH,,,,True,,,,,,,,,,
proefa GmbH,,,,True,,,,,,,,,,
PROENGENO GmbH & Co. KG,True,,,,True,True,True,Tue,04902 9157000,www.proengeno.de,bundesweit,,,
ProEngeno GmbH und Co. KG,,,,,True,True,True,True,,,,,,
PROKON Regenerative Energien eG,,True,,True,True,True,True,True,04821 6855222,www.prokon.net,,Kirchhoffstraße 3,25524,Itzehoe
PRO vitaenergie - eine Marke der KEW Kommunale Energie- und Wasserversorgung AG,,,,True,,,,,,,,,,
PVU Prignitzer Energie- und Wasserversorgungsunternehmen GmbH,,,,True,,,,,,,,,,
Queichtal Energie Offenbach GmbH & Co. KG,,,,True,,,,,,,,,,
R(H)EINPOWER - eine Marke der Stadtwerke Duisburg AG,,,,True,,,,,,,,,,
Regionale EnergieWerke GmbH,,,,True,,,,,,,,,,
Regionalwerk Bodensee GmbH & Co. KG,True,,True,True,,,,,07542 93790,www.rw-bodensee.de,regional,Waldesch 29,88069,Tettnang
Regionalwerk Würmtal GmbH & Co. KG,,,,True,,,,,,,,,,
RELAX-STROM - eine Marke der optimization engineers GmbH,,,,True,,,,,,,,,,
Remstalwerk GmbH & Co. KG,,,True,True,,,,,,,,Schillerstr. 30,73630,Remshalden
Renergiewerke Buttenwiesen GmbH,,,,True,,,,,,,,,,
Repower AG,,True,,,,,,, ,,,Via da Clalt 12,CH-7742,Poschiavo
RevierKraft - eine Marke der Energieversorgung Oberhausen AG,,,,True,,,,,,,,,,
REWAG Regensburger Energie- und Wasserversorgung AG & Co KG,True,,,True,,,,,0800 6016010,www.rewag.de,regional,,,
RheinEnergie AG,,,True,True,,,,,,,,Parkgürtel 24,50823,Köln
Rheinhessen-Energie GmbH c/o VG-Werke Sprendlingen-Gensingen AöR,,,True,True,,,,,,,,Elisabethenstraße 1,55576,Sprendlingen
Rheinhessische Energie- und Wasserversorgungs-GmbH,,,True,True,,,,,,,,Binger Straße 135,55218,Ingelheim
rhenag Rheinische Energie AG,,,True,True,,,,,,,,Bayenthalgürtel 9,50968,Köln
RhönEnergie Fulda,,,,,True,,,,,,,,,
RhönEnergie Fulda GmbH,True,,True,True,,,,,0661 12450,www.rhoenstrom.de,bundesweit,Bahnhofstraße 2,36037,Fulda
Rödl GmbH,,,,True,,,,,,,,,,
ROTHMOSER GMBH & CO. KG,,,True,True,,,,,,,,Am Urtelbach 4,85567,Grafing bei München
ROTHSTROM - eine Marke der Adolf ROTH GmbH & Co. KG,,,,True,,,,,,,,,,
RUCK ZUCK Energie - eine Marke Energieversorgung Pirna GmbH,,,,True,,,,,,,,,,
Rupert Buchauer E-Werk & Elektrotechnik,,,,True,,,,,,,,,,
Saergas GmbH & Co. KG,,,,True,,,,,,,,,,
Savero,,,,,,,,True,,,,,,
Schleswiger Stadtwerke GmbH,,,True,True,,,,,,,,Werkstraße 1,24837,Schleswig
Schöpper & Knoll - Taubertal GmbH,,,True,True,,,,,,,,Am Igelsbach 19,91541,Rothenburg o.d.T.
Schröder Gas GmbH & Co. KG,,,True,True,,,,,,,,Dibberser Bahnhof 5,27321,Thedinghausen
Schtrom - eine Marke der Elektrizitätswerke Schönau Vertriebs GmbH,,,,True,,,,,,,,,,
schwarzwald energy GmbH,,,,True,,,,,,,,,,
SE SAUBER ENERGIE GmbH & Co. KG,,,True,True,,,,,,,,Bayenthalgürtel 9,50968,Köln
SEW Stromversorgungs-GmbH,,,,True,,,,,,,,,,
Shell PrivatEnergie GmbH,,,,True,,,,,,,,,,
Siegener Versorgungsbetriebe GmbH,,,True,True,,,,,,,,Morleystraße 29-37,57072,Siegen
Silphienergie GmbH,,,,True,,,,,,,,,,
Simply Green - Marke der ProSiebenSat.1 Digital,,,,,True,True,,,,,,,,
SimplyGreen von ENTEGA Energie GmbH,,,,True,,,,,,,,,,
Solargenossenschaft Rosenheim eG,,,True,True,,,,,,,,Am Gangsteig 16,83024,Rosenheim
Sömmerdaer Energieversorgung GmbH,,,,True,,,,,,,,,,
Spätzle Strom - ein Marke der EHINGER ENERGIE Stromvertrieb GmbH & Co. KG,,,,True,,,,,,,,,,
SpreeGas Gesellschaft für Gasversorgung und Energiedienstleistung mbH,,,,True,,,,,,,,,,
