Stromanbieter,Adresse,PLZ,Stadt,URL,Kontakt     (nur relevante Anbieter),RoWo-Kriterien,A,B,C,D,R,X,Eigene Kraftwerke/Anteile an Kraftwerken,Zertifizierung? (ein oder mehrer Tarife),Stromkennzeichung fehlt,Bemerkung
Elektrizitätsvereinigung Böbing eG,Riedelweg 2,82389,Böbing,https://ev-boebing.de,,A,,,,,,,,,,
Elektrizitätsversorgung (EVU) der Gemeinde Gochsheim,Am Plan 4-6,97469,Gochsheim,https://evu.gochsheim.de,,A,,,,,,,,,,
Elektrizitätswerk des Kantons Schaffhausen AG,Rheinstr. 37,CH-8200 ,Schaffhausen,https://www.eks.ch,,A,,,,,,,,,,
Elektrizitätswerk Gemeinde Glattbach,Im Wiesengrund 3,63864,Glattbach,https://www.glattbach.de,,A,,,,,,,,,,
Elektrizitätswerk Hammermühle Versorgungsgesellschaft mbH,Im Geisenborn 4,56242,Selters,https://www.ewh.de,,A,,,,,,,,,,
Elektrizitätswerk Hindelang eG,Weidachstrasse 9,87541,Bad Hindelang,https://www.ewhindelang.de,,A,,,,,,,,,,
Elektrizitätswerk Karl Stengle GmbH & Co KG,Niedere-Au-Straße 11,72108,Rottenburg a. N.,https://www.e-werk-stengle.de,,R,,,?,,,,x,,,
Elektrizitäts-Werk Mainbernheim GmbH,Am Wehrbach 1,97350,Mainbernheim,http://www.ewerk-mainbernheim.de,,R?,,,?,,,,,RenewablePlus,,
Elektrizitätswerk Oberwössen eG,Dorfstraße 28,83246,Oberwössen,https://www.ew-oberwoessen.de/,,?,,Internetseite funktioniert nicht,,,,,,,,
Elektrizitäts-Werk Ottersberg,Grüne Straße 24,28870,Ottersberg,https://www.ewerk-ottersberg.de,,?,,x,,,,,,,x,
Elektrizitätswerk Rieger GmbH & Co. KG,Friedrichstrasse 16,72805,Lichtenstein,https://www.ewr-rieger.de,,R?,,,?,,,,x,x,,
Elektrizitätswerk Tegernsee Vertriebs- und Service-KG,Hochfeldstraße 3,83684,Tegernsee,https://ewerk-tegernsee.de,,A,,,,,,,,,,
Elektrizitätswerk Wanfried von Scharfenberg KG,Unter der Tränke 1,37281,Wanfried,https://www.ewwanfried.de,,A,,,,,,,,,,
Elektrizitätswerke Reutte GmbH & Co KG,Lechhalde 1 1/2,87629,Füssen,https://www.ewr-energie.com,,R?,,Erdgas Unternehmen,?,,,,x,x,,
Elektrizitätswerke Schönau Vertriebs GmbH,Friedrichstraße 53/55,79677,Schönau/Schw.,https://www.ews-schoenau.de/,,X,,,,,,,,,,
EMB - Energieversorgung Miltenberg-Bürgstadt GmbH & Co. KG,Luitpoldstraße 17,63897,Miltenberg,https://we-are-energy.de,,A,,,,,,,,,,
EMB Energie Mark Brandenburg GmbH,Großbeerenstraße 181 - 18,14482,Potsdam,https://www.emb-gmbh.de,,A,,,,,,,,,,
