name
Stadtwerke Finsterwalde
Stadtwerke Flensburg

Stadtwerke Forchheim
Stadtwerke Forst
Stadtwerke Frankenthal
Stadtwerke Frankfurt/O.
Stadtwerke Freiberg a.N.
Stadtwerke Freudenberg
Stadtwerke Freudenstadt
Stadtwerke Friedberg
Stadtwerke Friedrichshall
Stadtwerke Friedrichsthal
Stadtwerke Fröndenberg
Stadtwerke Furth
Stadtwerke Fürstenfeldbruck
SV Freiberg
EV Gaildorf
EV Gemünden
EV Gera
EV Gochsheim
EV Greiz
EV Guben
EW Geiger
EW Gerolsheim
EW Geuder
EW Goldbach
EW Grandl
Gammertinger EW
gasuf
GEG
Gelsenwasser
GEO Ostalb
Georg Oest
GETEC
GEW Glattbach
grün.power
grünES GmbH
GV Germering
GV Gifhorn
GV Grevesmühlen
GV Görlitz
GWBA
GW Gangkofen
GW Garmisch
GW Georgensgm.
GWG Grevenbroich
GW Grefrath
GW Großkrotzenburg
GW Gundelfingen
Stadtwerke Gaggenau
Stadtwerke Garbsen
Stadtwerke Geesthacht
Stadtwerke Geldern
Stadtwerke Gelnhausen
Stadtwerke Gengenbach
Stadtwerke Georgsmarienhütte
Stadtwerke Germersheim
Stadtwerke Gescher
Stadtwerke Gießen
Stadtwerke Glauchau
Stadtwerke Glückstadt
Stadtwerke Goch
Stadtwerke Gotha
Stadtwerke Greifswald
Stadtwerke Greven
Stadtwerke Grevesmühlen
Stadtwerke Grimma
Stadtwerke Gronau
Stadtwerke Groß-Gerau
Stadtwerke Grünstadt
Stadtwerke Gunzenhs.
Stadtwerke Görlitz
Stadtwerke Göttingen
SV Greding
EG Hasbergen
EVB Huntetal
EV Halle
EV Heider
EV Hildesheim
EW Haimhausen
EW Hammermühle
EW Hauenstein
EW Hindelang
Gebr. Heinzelmann
GuW Höxter
GV Haar
GV Hoya
GW Halstenbek
GW Hardt
GW Haßloch
GW Heikendorf
GW Hengersberg
GW Hermaringen
GW Herxheim
GW Heusweiler
GW Hohenwestedt
GW Holzkirchen
GW Hünxe
GW Hütschenhausen
Harzenergie
Havelstrom Zehdenick
HBL Nord-Energie
Heinrich Klöcker
Hellweg Energie
Hemhofen SV
Hertener SW
Herzowerke
hev Hohenloher Energie
HEWA
HEW Hof
HochsauerlandEnergie
KW Haag
LuK Helmbrechts
Stadtwerke Haan
Stadtwerke Hagenow
Stadtwerke Haiger
Stadtwerke Halberstadt
Stadtwerke Haldensleben
Stadtwerke Haltern
Stadtwerke Hameln
Stadtwerke Hamm
Stadtwerke Hammelburg
Stadtwerke Hanau
Stadtwerke Harsewinkel
Stadtwerke Haslach
Stadtwerke Hattingen
Stadtwerke Havelberg
Stadtwerke Haßfurt
Stadtwerke Hechingen
Stadtwerke Heide
Stadtwerke Heidelberg Energie
Stadtwerke Heidenheim
Stadtwerke Heidenheim regio
Stadtwerke Heilbronner VG
Stadtwerke Heiligenhafen
Stadtwerke Heiligenhaus
Stadtwerke Heiligenstadt
Stadtwerke Heilsbronn
Stadtwerke Hemau
Stadtwerke Hemer
Stadtwerke Herborn
Stadtwerke Herford
Stadtwerke Herne
Stadtwerke Herrenberg
Stadtwerke Hettstedt
Stadtwerke Hilden
Stadtwerke Hockenheim
Stadtwerke Hollfeld
Stadtwerke Holte-Stukenbrock
Stadtwerke Holzminden
Stadtwerke Homburg
Stadtwerke Horb
Stadtwerke Husum
Stadtwerke Hünfeld
SV Haar
SV Heroldsbach
TW Herbrechtingen
VB Hann. Münden
VB Hoyerswerda
EV Inn-Salzach
EV Inselsberg
EW Isernhagen
GVI Ismaning
GW Illingen
In(n) Energie
infra fürth
INNergie
Stadtwerke Ilmenau
Stadtwerke Ingolstadt
Stadtwerke Iserlohn
Stadtwerke Itzehoe
SVI Ismaning
SV Inzell
EW Josef Haimmerer
EW Josef Schmid
Stadtwerke Jülich
EG Karlstein
EV Klettgau - Rheintal
EV Kranenburg
EWAG Kamenz
EW Karl Stengle
EW Kirchzarten
GG Kerken
GSW Kamen
