"MaStR-Nr.";"Status";"Anzeige-Name";"Energieträger";"Standort";"Bruttoleistung in kW";"Nettonennleistung in kW";"Hauptbrennstoff/Lage";"Inbetriebnahmedatum";"Technologie";"Anlagenbetreiber";"Zur Einheit registriert";"Netzbetreiber";"Spannungsebene";"EEG Inbetriebnahmedatum";"Zuschlag (EEG-Ausschreibung)";"Thermische Nutzleistung in kW";"Nutzbare Speicherkapazität in kWh";"Genehmigungsbehörde";"Aktenzeichen der Genehmigung";"Genehmigungsdatum";"Meldedatum der Genehmigung";"Meldedatum";"Letzte Aktualisierung";"Zugeordnete Migrationseinheit";"Statistik";"NB-Prüfung"
"SEE930026239651";"In Betrieb";"PV-Anlage Schwarzenbergstraße 42, 97199 Erlach";"Solare Strahlungsenergie";"97199 Ochsenfurt
Schwarzenbergstraße 42
Deutschland";"99,3";"99,3";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"14.01.2019";"";"natürliche Person (ABR971657128235)";"EEG920931351784";"MDN Main-Donau Netzgesellschaft mbH (SNB973875583315)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"14.01.2019";"";"";"";"";"";"";"";"23.07.2019";"23.07.2019";"";"A";"Ungeprüft"
"SEE920725167508";"In Betrieb";"PV-Anlage CB";"Solare Strahlungsenergie";"08371 Glauchau
Deutschland";"4,05";"3,68";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"12.11.2014";"";"natürliche Person (ABR947783371210)";"EEG967459580340";"Stadtwerke Glauchau Dienstleistungsgesellschaft mbH (SNB963070917732)";"";"12.11.2014";"";"";"";"";"";"";"";"30.07.2019";"05.08.2019";"";"A";"Abgeschlossen"
"SEE984159174518";"In Betrieb";"Hausdach";"Solare Strahlungsenergie";"53359 Rheinbach
Deutschland";"4,32";"4,2";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"28.12.2011";"";"natürliche Person (ABR993053084182)";"EEG993532030976";"Westnetz GmbH (SNB921897286493)";"";"28.12.2011";"";"";"";"";"";"";"";"29.07.2019";"31.07.2019";"";"A";"Abgeschlossen"
"SEE938373453263";"In Betrieb";"Solardach-West";"Solare Strahlungsenergie";"59427 Unna
Deutschland";"7,14";"6";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"19.07.2013";"";"natürliche Person (ABR902334954953)";"EEG935881262097";"Stadtwerke Unna GmbH (SNB944150243392)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"19.07.2013";"";"";"";"";"";"";"";"15.07.2019";"15.07.2019";"";"A";"Ungeprüft"
"SEE921518767080";"In Betrieb";"Hausdach";"Solare Strahlungsenergie";"85304 Ilmmünster
Deutschland";"6,9";"6,9";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"22.08.2011";"";"natürliche Person (ABR949057617116)";"EEG948562021067";"Bayernwerk Netz GmbH (SNB940352624434)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"22.08.2011";"";"";"";"";"";"";"";"01.08.2019";"01.08.2019";"";"A";"Ungeprüft"
"SEE909546065637";"In Betrieb";"Speicher zur Solaranlage  Hainigstr. 72 Senec";"Speicher";"36341 Lauterbach
Deutschland";"2,5";"2,5";"";"25.08.2016";"";"natürliche Person (ABR944843548131)";"EEG951420010004
SSE901562257737";"Stadtwerke Lauterbach GmbH (SNB980345455409)";"";"25.08.2016";"";"";"10";"";"";"";"";"01.08.2019";"05.08.2019";"";"A";"Abgeschlossen"
"SEE900294030915";"In Betrieb";"Apropart-PV-Strom";"Solare Strahlungsenergie";"28870 Ottersberg
Deutschland";"9,88";"9,88";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"28.08.2015";"";"Heinrichs und Paul GbR";"EEG989294704903";"Elektrizitäts-Werk Ottersberg (SNB916008519201)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"28.08.2015";"";"";"";"";"";"";"";"15.07.2019";"15.07.2019";"";"A";"Ungeprüft"
"SEE946953208486";"In Betrieb";"Hausdach";"Solare Strahlungsenergie";"45527 Hattingen
Deutschland";"3,26";"3,26";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"19.12.2009";"";"natürliche Person (ABR998871013048)";"EEG973014862677";"AVU Netz GmbH (SNB967794191157)";"";"19.12.2009";"";"";"";"";"";"";"";"14.07.2019";"14.07.2019";"";"A";"Abgeschlossen"
"SEE956158900597";"In Betrieb";"Mct-Photovoltaik";"Solare Strahlungsenergie";"59174 Kamen
Deutschland";"7,56";"6";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"05.08.2013";"";"natürliche Person (ABR938806539601)";"EEG995736239469";"GSW Gemeinschaftsstadtwerke GmbH Kamen, Bönen, Bergkamen (SNB935600499711)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"05.08.2013";"";"";"";"";"";"";"";"01.08.2019";"01.08.2019";"";"A";"Ungeprüft"
"SEE981212066735";"In Betrieb";"PV-Anlage  - Solarfassade VG";"Solare Strahlungsenergie";"52070 Aachen
Deutschland";"4,38";"3,3";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"04.06.1991";"";"STAWAG Energie GmbH";"EEG964229105741";"Regionetz GmbH (SNB911641710114)";"";"04.06.1991";"";"";"";"";"";"";"";"23.07.2019";"05.08.2019";"";"A";"Abgeschlossen"
"SEE997488791080";"In Betrieb";"Hausdach";"Solare Strahlungsenergie";"45529 Hattingen
Deutschland";"3";"3";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"12.11.2001";"";"natürliche Person (ABR905005313394)";"EEG938669453076";"AVU Netz GmbH (SNB967794191157)";"";"12.11.2001";"";"";"";"";"";"";"";"01.08.2019";"01.08.2019";"";"A";"Abgeschlossen"
"SEE992746840227";"In Betrieb";"Hausdach";"Solare Strahlungsenergie";"86956 Schongau
Deutschland";"10,32";"10";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"07.06.2011";"";"natürliche Person (ABR999558689891)";"EEG915824467857";"LEW Verteilnetz GmbH (SNB911705062982)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"07.06.2011";"";"";"";"";"";"";"";"23.07.2019";"23.07.2019";"";"A";"Ungeprüft"
"SEE902326293527";"In Betrieb";"Batteriespeicher";"Speicher";"55218 Ingelheim
Deutschland";"1,5";"1,5";"";"02.09.2015";"";"natürliche Person (ABR922476241551)";"EEG915118488247
SSE980640146316";"Rheinhessische Energie- und Wasserversorgungs-GmbH (SNB912239808732)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"02.09.2015";"";"";"3,3";"";"";"";"";"25.07.2019";"25.07.2019";"";"A";"Ungeprüft"
"SEE974474874958";"In Betrieb";"BaboAzzlack";"Solare Strahlungsenergie";"78658 Zimmern
Deutschland";"4,35";"4,35";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"01.02.2019";"";"natürliche Person (ABR950191386684)";"EEG978212074792";"ENRW Energieversorgung Rottweil GmbH & Co. KG (SNB951180867351)";"";"01.02.2019";"";"";"";"";"";"";"";"29.07.2019";"06.08.2019";"";"B";"Abgeschlossen"
"SEE926212502036";"In Betrieb";"100er BHKW";"Biomasse";"92271 Freihung
Hämmerleinshof 1
Deutschland";"100";"100";"Biogas (vor Ort verstromt)";"23.11.2009";"Verbrennungsmotor";"natürliche Person (ABR947736591719)";"EEG926486451221
KWK935217585838
SGE947599281864";"Bayernwerk Netz GmbH (SNB940352624434)";"Mittelspannung";"12.12.2009";"";"341";"";"Landratsamt Amberg-Sulzbach";"20090090";"23.06.2009";"23.07.2019";"23.07.2019";"23.07.2019";"";"A";"Ungeprüft"
"SEE985914296988";"In Betrieb";"PV Biogasanlage";"Solare Strahlungsenergie";"47589 Uedem
Steinbergen 21
Deutschland";"63,96";"63,96";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"30.12.2011";"";"Bioenergie vom Welleshof GmbH";"EEG963227590283";"Westnetz GmbH (SNB921897286493)";"Mittelspannung";"30.12.2011";"";"";"";"";"";"";"";"30.07.2019";"30.07.2019";"";"A";"Ungeprüft"
"SEE996451793120";"In Betrieb";"Franz";"Solare Strahlungsenergie";"56357 Lipporn
Deutschland";"1,7";"1,7";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"25.03.2009";"";"natürliche Person (ABR909616327887)";"EEG913880027657";"Syna GmbH (SNB918250928893)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"25.03.2009";"";"";"";"";"";"";"";"15.07.2019";"15.07.2019";"";"A";"Ungeprüft"
"SEE964555277105";"In Betrieb";"Hausdach";"Solare Strahlungsenergie";"47533 Kleve
Deutschland";"5,54";"5,5";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"12.08.2009";"";"natürliche Person (ABR966935128397)";"EEG917282652677";"Stadtwerke Kleve GmbH (SNB935814055062)";"";"12.08.2009";"";"";"";"";"";"";"";"16.07.2019";"16.07.2019";"";"A";"Abgeschlossen"
"SEE984914830888";"In Betrieb";"Hausdach";"Solare Strahlungsenergie";"58300 Wetter
Deutschland";"11,31";"8";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"30.11.2012";"";"natürliche Person (ABR930193281699)";"EEG903540567562";"AVU Netz GmbH (SNB967794191157)";"";"30.11.2012";"";"";"";"";"";"";"";"26.07.2019";"26.07.2019";"";"A";"Abgeschlossen"
"SEE990567664909";"In Betrieb";"Bühlach 5, 86971 Peiting";"Solare Strahlungsenergie";"86971 Peiting
Deutschland";"12,87";"12,87";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"01.07.2008";"";"natürliche Person (ABR912735931859)";"EEG987837643436";"LEW Verteilnetz GmbH (SNB911705062982)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"01.07.2008";"";"";"";"";"";"";"";"18.07.2019";"18.07.2019";"";"A";"Ungeprüft"
"SEE955955676056";"In Betrieb";"Dach";"Solare Strahlungsenergie";"92342 Freystadt
Appianistraße 9
Deutschland";"96,346";"87";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"23.12.2015";"";"Hanisch Waschstrassen GmbH";"EEG993158030916";"MDN Main-Donau Netzgesellschaft mbH (SNB973875583315)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"29.12.2015";"";"";"";"";"";"";"";"06.08.2019";"06.08.2019";"";"A";"Ungeprüft"
"SEE995902521749";"In Betrieb";"PVGeißkopf";"Solare Strahlungsenergie";"94253 Bischofsmais
Deutschland";"10,12";"10";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"30.06.2009";"";"natürliche Person (ABR998906768141)";"EEG974063221507";"Bayernwerk Netz GmbH (SNB940352624434)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"30.06.2009";"";"";"";"";"";"";"";"11.07.2019";"11.07.2019";"";"A";"Ungeprüft"
"SEE970413866312";"In Betrieb";"PV2017";"Solare Strahlungsenergie";"83098 Brannenburg
Deutschland";"7,8";"7,8";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"15.11.2017";"";"natürliche Person (ABR999548466860)";"EEG984453840515";"Wendelsteinbahn Verteilnetz GmbH (SNB946373984786)";"";"15.11.2017";"";"";"";"";"";"";"";"27.07.2019";"27.07.2019";"";"A";"Abgeschlossen"
"SEE919237019115";"In Betrieb";"Hausdach";"Solare Strahlungsenergie";"58332 Schwelm
Deutschland";"5,67";"5,3";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"24.08.2007";"";"natürliche Person (ABR905533810570)";"EEG974847813331";"AVU Netz GmbH (SNB967794191157)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"15.08.2007";"";"";"";"";"";"";"";"23.07.2019";"23.07.2019";"";"A";"Ungeprüft"
"SEE975616057185";"In Betrieb";"ABR964909138366";"Solare Strahlungsenergie";"44534 Lünen";"8,61";"8,61";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"31.07.2014";"";"natürliche Person (ABR964909138366)";"EEG982311798008";"Stadtwerke Lünen GmbH (SNB942111583372)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"31.07.2014";"";"";"";"";"";"";"";"05.08.2019";"05.08.2019";"";"A";"Ungeprüft"
"SEE936996233750";"In Betrieb";"Anlage 1 Stall";"Solare Strahlungsenergie";"34225 Baunatal
Deutschland";"19,13";"17";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"05.11.2008";"";"natürliche Person (ABR906517405423)";"EEG965681395879";"EnergieNetz Mitte GmbH (SNB971311555230)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"05.11.2008";"";"";"";"";"";"";"";"16.07.2019";"16.07.2019";"";"A";"Ungeprüft"
"SEE929735947902";"In Betrieb";"Technikraum";"Speicher";"89522 Heidenheim
Deutschland";"11,84";"11,84";"";"23.10.2017";"";"natürliche Person (ABR902687718837)";"EEG953396875854
SSE984077456437";"Hellenstein-Energie-Logistik GmbH (SNB924453035597)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"23.10.2017";"";"";"6,3";"";"";"";"";"03.08.2019";"03.08.2019";"";"A";"Ungeprüft"
"SEE970391697885";"In Betrieb";"Dach";"Solare Strahlungsenergie";"32130 Enger
Deutschland";"5,98";"5,5";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"26.11.2004";"";"natürliche Person (ABR953007213884)";"EEG976022144018";"Westfalen Weser Netz GmbH (SNB929881052512)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"26.11.2004";"";"";"";"";"";"";"";"16.07.2019";"16.07.2019";"";"A";"Ungeprüft"
"SEE999827314219";"In Betrieb";"Mersch";"Solare Strahlungsenergie";"48317 Drensteinfurt
Mersch 2
Deutschland";"146,18";"133";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"29.09.2010";"";"natürliche Person (ABR923545703789)";"EEG923641212215";"Westnetz GmbH (SNB921897286493)";"Umspannebene Mittelspannung/Niederspannung";"29.09.2010";"";"";"";"";"";"";"";"16.07.2019";"16.07.2019";"";"A";"Ungeprüft"
"SEE932927228543";"In Betrieb";"PV Halle im Garten";"Solare Strahlungsenergie";"23738 Riepsdorf
Deutschland";"21,42";"17,4";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"17.08.2005";"";"Gosdorfer Windenergie GmbH & Co. KG";"EEG980127103580";"Schleswig-Holstein Netz AG (SNB919861978666)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"17.08.2005";"";"";"";"";"";"";"";"28.07.2019";"28.07.2019";"";"A";"Ungeprüft"
"SEE993634669395";"In Betrieb";"Sdach2010";"Solare Strahlungsenergie";"78713 Schramberg
Deutschland";"12,42";"12";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"29.04.2010";"";"natürliche Person (ABR941911354304)";"EEG997101065024";"Stadtwerke Schramberg GmbH & Co. KG (SNB944999584793)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"29.04.2010";"";"";"";"";"";"";"";"06.08.2019";"06.08.2019";"";"A";"Ungeprüft"
"SEE995250447272";"In Betrieb";"Hausdach";"Solare Strahlungsenergie";"85656 Buch
Deutschland";"6,24";"6,24";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"13.01.2017";"";"natürliche Person (ABR999415028641)";"EEG997794570027";"KWH Netz GmbH (SNB922161652860)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"13.01.2017";"";"";"";"";"";"";"";"02.08.2019";"02.08.2019";"";"A";"Ungeprüft"
"SEE947403969513";"In Betrieb";"Hausdach";"Solare Strahlungsenergie";"59427 Unna
Deutschland";"1,75";"1,55";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"05.02.2009";"";"natürliche Person (ABR938272578036)";"EEG924072447528";"Stadtwerke Unna GmbH (SNB944150243392)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"05.02.2009";"";"";"";"";"";"";"";"17.07.2019";"17.07.2019";"";"A";"Ungeprüft"
"SEE907526847112";"In Betrieb";"Klausa 33";"Solare Strahlungsenergie";"04603 Nobitz
Deutschland";"29,92";"24";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"05.11.2009";"";"natürliche Person (ABR904260924451)";"EEG988986175878";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"05.11.2009";"";"";"";"";"";"";"";"11.07.2019";"11.07.2019";"";"A";"Ungeprüft"
"SEE913510834402";"In Betrieb";"Wohnhaus";"Solare Strahlungsenergie";"04603 Nobitz
Deutschland";"21,505";"19";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"24.10.2008";"";"natürliche Person (ABR926342313922)";"EEG926841456878";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"24.10.2008";"";"";"";"";"";"";"";"12.07.2019";"11.07.2019";"";"A";"Ungeprüft"
"SEE961774468864";"In Betrieb";"peltz(%;8!";"Solare Strahlungsenergie";"77694 Kehl
Deutschland";"11,22";"11,22";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"30.07.2007";"";"natürliche Person (ABR956591274088)";"EEG958397812686";"Netze Mittelbaden GmbH & Co. KG (SNB913992545742)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"30.07.2007";"";"";"";"";"";"";"";"25.07.2019";"25.07.2019";"";"A";"Ungeprüft"
"SEE942415567214";"In Betrieb";"SP Oi Frei 1";"Solare Strahlungsenergie";"72296 Schopfloch
Oberiflingen 1409";"42,3";"42,3";"Freifläche";"12.02.2001";"";"natürliche Person (ABR984015770373)";"EEG931987240045";"Netze BW GmbH (SNB948311994307)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"12.02.2001";"";"";"";"";"";"";"";"01.08.2019";"01.08.2019";"";"A";"Ungeprüft"
"SEE968270727815";"In Betrieb";"PhotovAS";"Solare Strahlungsenergie";"81829 München
Deutschland";"5,4";"5";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"01.09.2009";"";"natürliche Person (ABR998023137776)";"EEG994425169872";"SWM Infrastruktur GmbH & Co. KG (SNB969473762610)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"10.09.2009";"";"";"";"";"";"";"";"07.08.2019";"07.08.2019";"";"A";"Ungeprüft"
"SEE907850533422";"In Betrieb";"Apollo";"Solare Strahlungsenergie";"66763 Dillingen
Deutschland";"7,87";"7,87";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"09.06.2011";"";"natürliche Person (ABR991138972195)";"EEG923739166581";"Stadtwerke Dillingen/Saar Netzgesellschaft mbH (SNB991561247815)";"";"09.06.2011";"";"";"";"";"";"";"";"15.07.2019";"15.07.2019";"";"A";"Abgeschlossen"
"SEE906762076973";"In Betrieb";"Nebengebäude";"Solare Strahlungsenergie";"15910 Unterspreewald
Deutschland";"6,45";"0,48";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"13.11.2008";"";"natürliche Person (ABR972867862360)";"EEG934100374313";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"13.11.2008";"";"";"";"";"";"";"";"30.07.2019";"30.07.2019";"";"A";"Ungeprüft"
"SEE999207694184";"In Betrieb";"OsterOsterburken 5 u 6";"Solare Strahlungsenergie";"74706 Osterburken
Industriepark 113
Deutschland";"139,08";"126";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"20.04.2019";"";"natürliche Person (ABR962888507944)";"EEG995151626509";"Netze BW GmbH (SNB948311994307)";"Umspannebene Mittelspannung/Niederspannung";"20.04.2019";"";"";"";"";"";"";"";"14.07.2019";"14.07.2019";"";"B";"Ungeprüft"
"SEE933533361839";"In Betrieb";"Furt 51-53";"Erdgas";"22523 Hamburg
Furtweg 51
Deutschland";"40";"40";"Erdgas, Erdölgas";"12.06.2019";"Verbrennungsmotor";"E.I.S. Energie Invest Service GmbH & Co. KG";"KWK968168710639";"Stromnetz Hamburg GmbH (SNB968295079586)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"";"";"40";"";"";"";"";"";"15.07.2019";"15.07.2019";"";"B";"Ungeprüft"
"SEE933998118603";"In Betrieb";"SPK GmbH & CoKG";"Solare Strahlungsenergie";"94569 Stephansposching
Stepahansposching 1398";"1.142,57";"1.100";"Freifläche";"25.06.2012";"";"SPK GmbH & CoKG";"EEG938626123202";"Bayernwerk Netz GmbH (SNB940352624434)";"Mittelspannung";"25.06.2012";"";"";"";"";"";"";"";"22.07.2019";"22.07.2019";"";"A";"Ungeprüft"
"SEE912459066721";"In Betrieb";"Solarpark Königsbronn";"Solare Strahlungsenergie";"89551 Königsbronn
Ochsenberg Flur 0. Flurstück 254/1, 255";"9.999";"8.665,8";"Freifläche";"23.05.2014";"";"Solarpark Königsbronn GmbH";"EEG970383226185";"Netzgesellschaft Ostwürttemberg DonauRies GmbH (SNB935556509052)";"Umspannebene Mittelspannung/Niederspannung";"23.05.2014";"";"";"";"";"";"";"";"24.07.2019";"24.07.2019";"";"A";"Ungeprüft"
"SEE936240630847";"In Betrieb";"Hausdach";"Solare Strahlungsenergie";"34295 Edermünde
Deutschland";"7,28";"6";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"27.08.2014";"";"natürliche Person (ABR970038448290)";"EEG956464172305";"EnergieNetz Mitte GmbH (SNB971311555230)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"27.08.2014";"";"";"";"";"";"";"";"27.07.2019";"27.07.2019";"";"A";"Ungeprüft"
"SEE979604637366";"In Betrieb";"Badische Sonne";"Solare Strahlungsenergie";"77781 Biberach
Deutschland";"2,88";"2,5";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"09.01.2004";"";"natürliche Person (ABR919675273896)";"EEG972252102460";"Netze Mittelbaden GmbH & Co. KG (SNB913992545742)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"09.01.2004";"";"";"";"";"";"";"";"02.08.2019";"02.08.2019";"";"A";"Ungeprüft"
"SEE922868547698";"In Betrieb";"Haus";"Solare Strahlungsenergie";"23617 Stockelsdorf
Deutschland";"7,2";"7";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"24.08.2012";"";"natürliche Person (ABR935665844617)";"EEG981354073011";"Schleswig-Holstein Netz AG (SNB919861978666)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"24.08.2012";"";"";"";"";"";"";"";"10.07.2019";"10.07.2019";"";"A";"Ungeprüft"
"SEE992411107808";"In Betrieb";"V16858";"Wind";"14979 Großbeeren
Ernst-Stargardt-Allee
Deutschland";"2.000";"2.000";"Windkraft an Land";"14.10.2003";"Horizontalläufer";"Öko-Depot GmbH & Co. KG";"EEG993218883735
SGE970958111915";"E.DIS Netz GmbH (SNB941690671609)";"Mittelspannung";"14.10.2003";"";"";"";"Amt für Immissionsschutz Wünsdorf";"50724000111-0001/I.4a/34-002/03";"29.08.2002";"10.07.2019";"10.07.2019";"10.07.2019";"";"A";"Ungeprüft"
"SEE998460538181";"In Betrieb";"1";"Solare Strahlungsenergie";"47551 Bedburg-Hau
Deutschland";"2,1";"2,1";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"19.10.2005";"";"natürliche Person (ABR967873607951)";"EEG989771098716";"Westnetz GmbH (SNB921897286493)";"";"19.10.2005";"";"";"";"";"";"";"";"26.07.2019";"30.07.2019";"";"A";"Abgeschlossen"
"SEE920614165745";"In Betrieb";"Hausdach";"Solare Strahlungsenergie";"38458 Velpke
Deutschland";"9,6";"8";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"09.07.2019";"";"natürliche Person (ABR900805012904)";"EEG913855515660";"LSW Netz GmbH & Co. KG (SNB957862279702)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"09.07.2019";"";"";"";"";"";"";"";"05.08.2019";"05.08.2019";"";"B";"Ungeprüft"
"SEE907974911823";"In Betrieb";"Solar Assauer";"Solare Strahlungsenergie";"34414 Warburg
Deutschland";"5,035";"5,035";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"15.10.2015";"";"natürliche Person (ABR942941228474)";"EEG932931130658";"Stadtwerke Warburg GmbH (SNB911692402044)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"15.10.2015";"";"";"";"";"";"";"";"11.07.2019";"11.07.2019";"";"A";"Ungeprüft"
"SEE955318906424";"In Betrieb";"KWK";"Erdgas";"25746 Heide
Deutschland";"21,7";"20";"Erdgas, Erdölgas";"26.10.2018";"Verbrennungsmotor";"Beatrix & Birger Schmidt";"KWK971952850749";"Stadtwerke Heide GmbH (SNB953938790515)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"";"";"44";"";"";"";"";"";"16.07.2019";"16.07.2019";"";"A";"Ungeprüft"
"SEE984107179916";"In Betrieb";"Holzschauer";"Solare Strahlungsenergie";"01819 Bahretal
Deutschland";"1,47";"1,2";"Bauliche Anlagen (Sonstige)";"27.11.2012";"";"natürliche Person (ABR996435065199)";"EEG941729081713";"ENSO Netz GmbH (SNB968914838013)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"27.11.2012";"";"";"";"";"";"";"";"19.07.2019";"19.07.2019";"";"A";"Ungeprüft"
"SEE967919436699";"In Planung";"LöwenWG";"Solare Strahlungsenergie";"91746 Weidenbach
Deutschland";"5,49";"5";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"";"";"natürliche Person (ABR910524819241)";"";"MDN Main-Donau Netzgesellschaft mbH (SNB973875583315)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"";"";"";"";"";"";"";"";"16.07.2019";"16.07.2019";"";"A";""
"SEE916799501843";"In Betrieb";"Solar-Hausdach";"Solare Strahlungsenergie";"99976 Faulungen
Deutschland";"7,28";"7";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"14.08.2018";"";"natürliche Person (ABR989615639457)";"EEG992766252048";"TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"14.08.2018";"";"";"";"";"";"";"";"12.07.2019";"12.07.2019";"";"A";"Ungeprüft"
"SEE913479779943";"In Betrieb";"ABR997876832920";"Solare Strahlungsenergie";"76297 Stutensee
Deutschland";"7,2";"7,2";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"08.07.2019";"";"natürliche Person (ABR997876832920)";"EEG996995992317";"Netze BW GmbH (SNB948311994307)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"08.07.2019";"";"";"";"";"";"";"";"15.07.2019";"15.07.2019";"";"B";"Ungeprüft"
"SEE912290359860";"In Betrieb";"ABR971516391893";"Solare Strahlungsenergie";"15526 Reichenwalde";"9,9";"9,9";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"10.07.2019";"";"Dr. Ullrich Medizintechnik";"EEG975385811902";"E.DIS Netz GmbH (SNB941690671609)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"11.06.2019";"";"";"";"";"";"";"";"22.07.2019";"23.07.2019";"";"B";"Ungeprüft"
"SEE925294617638";"In Betrieb";"BSZ JS";"Erdgas";"86415 Mering
Deutschland";"0,75";"0,75";"Erdgas, Erdölgas";"05.09.2018";"Brennstoffzelle";"natürliche Person (ABR921904727841)";"KWK959689752376";"Bayernwerk Netz GmbH (SNB940352624434)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"";"";"1,1";"";"";"";"";"";"04.08.2019";"04.08.2019";"";"A";"Ungeprüft"
