"MaStR-Nr.";"Status";"Anzeige-Name";"Energieträger";"Standort";"Bruttoleistung in kW";"Nettonennleistung in kW";"Hauptbrennstoff/Lage";"Inbetriebnahmedatum";"Technologie";"Anlagenbetreiber";"Zur Einheit registriert";"Netzbetreiber";"Spannungsebene";"EEG Inbetriebnahmedatum";"Zuschlag (EEG-Ausschreibung)";"Thermische Nutzleistung in kW";"Nutzbare Speicherkapazität in kWh";"Genehmigungsbehörde";"Aktenzeichen der Genehmigung";"Genehmigungsdatum";"Meldedatum der Genehmigung";"Meldedatum";"Letzte Aktualisierung";"Zugeordnete Migrationseinheit";"Statistik";"NB-Prüfung"
"SEE960523214837";"In Betrieb";"Kranhallle";"Solare Strahlungsenergie";"93482 Pemfling
Deutschland";"33,75";"29,1";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"24.06.2008";"";"natürliche Person (ABR907028891415)";"EEG999881244637";"Bayernwerk Netz GmbH (SNB940352624434)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"24.06.2008";"";"";"";"";"";"";"";"10.07.2019";"10.07.2019";"";"A";"Ungeprüft"
"SEE907772620750";"In Betrieb";"Tenne 2";"Solare Strahlungsenergie";"48282 Emsdetten
Deutschland";"4,41";"4,2";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"28.06.2005";"";"natürliche Person (ABR958983554099)";"EEG990288144735";"Stadtwerke Emsdetten GmbH (SNB958416423039)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"28.06.2005";"";"";"";"";"";"";"";"10.07.2019";"10.07.2019";"";"A";"Ungeprüft"
"SEE938425876781";"In Betrieb";"Öko Solar 55592";"Solare Strahlungsenergie";"55592 Rehborn
Deutschland";"4,35";"4,2";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"10.04.2018";"";"PFALZWERKE AKTIENGESELLSCHAFT";"EEG996509190482";"Pfalzwerke Netz AG (SNB961471621746)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"10.04.2018";"";"";"";"";"";"";"";"10.07.2019";"10.07.2019";"";"A";"Ungeprüft"
"SEE929579786910";"In Betrieb";"Peter Speicher";"Speicher";"57518 Betzdorf
Deutschland";"2,5";"2,5";"";"10.07.2019";"";"natürliche Person (ABR926918691393)";"EEG915106932714
SSE901092041066";"Westnetz GmbH (SNB921897286493)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"10.07.2019";"";"";"6,4";"";"";"";"";"10.07.2019";"10.07.2019";"";"B";"Ungeprüft"
"SEE908801816182";"In Betrieb";"Dach_EFH";"Solare Strahlungsenergie";"24589 Nortorf
Deutschland";"5,2";"4,6";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"14.08.2015";"";"natürliche Person (ABR978620476669)";"EEG984923735846";"Stadtwerke Nortorf AöR (SNB965813404431)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"14.08.2015";"";"";"";"";"";"";"";"10.07.2019";"10.07.2019";"";"A";"Ungeprüft"
"SEE967067430563";"In Betrieb";"Hausdach";"Solare Strahlungsenergie";"73614 Schorndorf
Deutschland";"7,5";"4,9";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"19.09.2009";"";"natürliche Person (ABR994058166194)";"EEG925891180825";"Stadtwerke Schorndorf GmbH (SNB935144085258)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"19.09.2009";"";"";"";"";"";"";"";"10.07.2019";"10.07.2019";"";"A";"Ungeprüft"
"SEE947297645593";"In Betrieb";"Bodelshausen 18";"Solare Strahlungsenergie";"72411 Bodelshausen
Deutschland";"19,26";"14";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"16.04.2010";"";"Deininger & Effinger Solaranlagen Betreiber GbR";"EEG992840958569";"Netze BW GmbH (SNB948311994307)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"16.04.2010";"";"";"";"";"";"";"";"10.07.2019";"10.07.2019";"";"A";"Ungeprüft"
"SEE933418704874";"In Betrieb";"FFW Gassen 2a, Marktl, Hyundai";"Solare Strahlungsenergie";"84533 Marktl
Deutschland";"18,27";"14,4";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"23.06.2010";"";"BOSL GmbH";"EEG910834010581";"Bayernwerk Netz GmbH (SNB940352624434)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"23.06.2010";"";"";"";"";"";"";"";"10.07.2019";"10.07.2019";"";"A";"Ungeprüft"
"SEE983736305826";"In Betrieb";"ABR969870787575";"Solare Strahlungsenergie";"74834 Elztal
Deutschland";"12,88";"12,88";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"23.08.2007";"";"natürliche Person (ABR969870787575)";"EEG939844869132";"Stadtwerke Mosbach GmbH (SNB984863778941)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"23.08.2007";"";"";"";"";"";"";"";"10.07.2019";"10.07.2019";"";"A";"Ungeprüft"
"SEE952465651979";"In Betrieb";"Grammer Solar";"Solare Strahlungsenergie";"92224 Amberg
Deutschland";"3,7";"3,45";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"22.04.2005";"";"natürliche Person (ABR990897653543)";"EEG984798040366";"Stadtwerke Amberg Versorgungs GmbH (SNB978191145308)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"22.04.2005";"";"";"";"";"";"";"";"10.07.2019";"10.07.2019";"";"A";"Ungeprüft"
