name
123energie - eine Marke der Pfalzwerke AG
17er Oberlandenergie GmbH
24/7 Energie und Kommunikation GmbH
4hundred GmbH
Abens-Donau Energie GmbH
Abita Energie Otterberg GmbH
AggerEnergie GmbH
Ahrtal-Werke GmbH
Albstadtwerke GmbH
Albwerk GmbH & Co. KG
Allgäuer Kraftwerke GmbH
Allgäuer Überlandwerk GmbH
Ammer-Loisach Energie GmbH
Aschaffenburger Versorgungs-GmbH
Audax Energie GmbH
AVU Aktiengesellschaft für Versorgungs-Unternehmen
Bad Honnef AG
Bad Lauterberg Energie GmbH
badenova AG & Co. KG
Bauer Elektrounternehmen GmbH & Co.KG
Bayernwerk Regio Energie GmbH
BayWa Ökoenergie GmbH
BELKAW Bergische Licht-, Kraft- und Wasserwerke GmbH
Benergie-Service GmbH
BERGMANN - Elektrizität & Gas - eine Marke der LSW Energie GmbH & Co. KG
Berliner Stadtwerke GmbH
BeSte Stadtwerke GmbH
BEW Bergische Energie- und Wasser-GmbH
BIGGE ENERGIE GmbH & Co. KG
Blomberger Versorgungsbetriebe GmbH
Bocholter Energie- und Wasserversorgung GmbH
Bodensee Energie - eine Marke der Stadtwerk am See GmbH & Co. KG
Bonus Strom GmbH
Braunschweiger Versorgungs-AG & Co. KG
Burgenland Energie GmbH
Bürger Energie Genossenschaft Freisinger Land e.G.
BürgerEnergie Solingen eG
Bürgerwerke eG
C. Ensinger GmbH & Co.KG
CB Energie GmbH
Citiwerke - eine Marke der Thüga Energie GmbH
Cramer Mühle KG
Dessauer Stromversorgung GmbH
die energievorsorger GmbH
Donau-Stadtwerke Dillingen-Lauingen
Dortmunder Energie- und Wasserversorgung GmbH
Dreipunkt Energie - eine Marke der AVU Aktiengesellschaft für Versorgungs-Unternehmen
Dreischtrom GmbH
DREWAG - Stadtwerke Dresden GmbH
E WIE EINFACH GmbH
E.ON Energie Deutschland GmbH
E.VITA GmbH
e.wa riss GmbH & Co KG
EAM Energie GmbH
EBERwerk GmbH & Co. KG
EBLD Schweiz Strom GmbH
EDIE Strom - eine Marke der MAINGAU Energie GmbH
EGF EnergieGesellschaft Frankenberg mbH
EGT Energievertrieb GmbH
EHINGER ENERGIE Stromvertrieb GmbH & Co. KG
Eichenmüller GmbH & Co. KG
Eichsfelder Energie- und Wasserversorgungsgesellschaft mbH
Einhorn Energie GmbH & Co. KG
eins energie in sachsen GmbH & Co. KG
Eisenacher Versorgungs-Betriebe GmbH
Elektra-Genossenschaft Effeltrich eG
Elektra-Genossenschaft Pinzberg eG
Elektrizitäts- und Wasserversorgungsgenossenschaft Vagen eG
Elektrizitäts-Genossenschaft Dirmstein eG
Elektrizitätsgenossenschaft Engelsberg e.G.
Elektrizitätsgenossenschaft Hasbergen eG
Elektrizitätsgenossenschaft Karlstein eG
Elektrizitätsgenossenschaft Nordhalben und Umgebung eG
Elektrizitätsgenossenschaft Oesterweg eG
Elektrizitätsgenossenschaft Ohlstadt eG
Elektrizitätsgenossenschaft Rettenberg eG
Elektrizitäts-Genossenschaft Röthenbach eG
Elektrizitäts-Genossenschaft Schlachters eG
Elektrizitäts-Genossenschaft Schonstett eG
Elektrizitäts-Genossenschaft Tacherting-Feichten e.G.
Elektrizitätsgenossenschaft Unterneukirchen eG
Elektrizitäts-Genossenschaft Vogling & Angrenzer eG
Elektrizitäts-Genossenschaft Wolkersdorf und Umgebung eG
Elektrizitätsgesellschaft Levern eG
Elektrizitätsvereinigung Böbing eG
Elektrizitätsversorgung (EVU) der Gemeinde Gochsheim
Elektrizitäts-VersorgungGenossenschaft Perlesreut eG
Elektrizitätswerk Aach GmbH
Elektrizitätswerk des Kantons Schaffhausen AG
Elektrizitätswerk Diessen Stadler GmbH
Elektrizitätswerk Gemeinde Glattbach
Elektrizitätswerk Georg Grandl e.K.
Elektrizitätswerk Goldbach-Hösbach GmbH & Co. KG
Elektrizitätswerk Haimmerer
Elektrizitätswerk Hammermühle Versorgungsgesellschaft mbH
Elektrizitätswerk Hauenstein
Elektrizitätswerk Heinrich Schirmer
Elektrizitätswerk Hindelang eG
Elektrizitätswerk Karl Stengle GmbH & Co KG
Elektrizitätswerk Landsberg GmbH
Elektrizitätswerk Leitlein GmbH & Co. KG
Elektrizitäts-Werk Mainbernheim GmbH
Elektrizitätswerk Markt Obernzell
Elektrizitätswerk Max Peißker
Elektrizitätswerk Mittelbaden AG & Co. KG
Elektrizitätswerk Müller Tauberrettersheim
Elektrizitätswerk Oberwössen eG
Elektrizitätswerk Ottenhöfen Moser GmbH & Co. KG
Elektrizitäts-Werk Ottersberg
Elektrizitätswerk Rieger GmbH & Co. KG
Elektrizitätswerk Rohmund GmbH
Elektrizitätswerk Rosenmühle e.K.
Elektrizitätswerk Schweiger GmbH
Elektrizitätswerk Tegernsee Vertriebs- und Service-KG
Elektrizitätswerk Wanfried von Scharfenberg KG
Elektrizitätswerk Weißenhorn AG
Elektrizitätswerk Wennenmühle Schörger KG
Elektrizitätswerke Reutte GmbH & Co KG
Elektrizitätswerke Schönau Vertriebs GmbH
Elektro-Trück GmbH
Elogico - eine Marke der ENSTROGA AG
EMB - Energieversorgung Miltenberg-Bürgstadt GmbH & Co. KG
EMB Energie Mark Brandenburg GmbH
Emil Energie GmbH
EMMA Energie - eine Marke von TWL Energie Deutschland GmbH
Emscher Lippe Energie GmbH
EnBW Energie Baden-Württemberg AG
EnBW Ostwürttemberg DonauRies Aktiengesellschaft ODR
enercity AG
eneREGIO GmbH
Energie Aktiengesellschaft Iserlohn
Energie Calw GmbH
Energie Nordeifel GmbH & Co. KG
Energie Rellingen - eine Marke der Stadtwerke Elmshorn
Energie Rhein-Sieg GmbH
Energie SaarLorLux AG
Energie Sachsenheim GmbH & Co. KG
Energie Südbayern GmbH
Energie und Versorgung Butzbach GmbH
Energie und Wasser Potsdam GmbH
Energie und Wasser Wahlstedt/Bad Segeberg GmbH & Co KG
Energie und Wasser Waldbröl GmbH
Energie und Wasserversorgung Aktiengesellschaft Kamenz
Energie- und Wasserversorgung Altenburg GmbH
Energie- und Wasserversorgung Bitz GmbH
Energie- und Wasserversorgung Bruchsal GmbH
Energie- und Wasserversorgung Bünde GmbH
Energie- und Wasserversorgung Kirchzarten GmbH
Energie- und Wasserversorgung Rheine GmbH
Energie- und Wasserwerke Bautzen GmbH
Energie von nebenan - eine Marke der Stadtwerke Herne AG
Energie Vorpommern GmbH
Energie Waldeck-Frankenberg GmbH
Energiedienst AG
Energiegenossenschaft für Wittmund eG
Energie-Gesellschaft Unterkirnach mbH
energieGUT GmbH
energiehoch3 GmbH
EnergieSüdwest Aktiengesellschaft
Energieversorgung Alzenau GmbH
Energieversorgung Apolda GmbH
Energieversorgung Bad Bentheim GmbH & Co. KG
Energieversorgung Bad Boll GmbH
Energieversorgung Beckum GmbH & Co. KG
Energieversorgung Buching-Trauchgau GmbH
Energieversorgung Dahlenburg-Bleckede AG
Energieversorgung Filstal GmbH & Co. KG
Energieversorgung Gaildorf OHG
Energieversorgung Gemünden GmbH
Energieversorgung Gera GmbH
Energieversorgung Greiz GmbH
Energieversorgung Guben GmbH
Energieversorgung Inselsberg GmbH
Energieversorgung Klettgau-Rheintal GmbH & Co. KG
Energieversorgung Kranenburg GmbH
Energieversorgung Lenningen GmbH
Energieversorgung Leverkusen GmbH & Co. KG
Energieversorgung Limburg GmbH
Energieversorgung Lohr-Karlstadt und Umgebung GmbH
Energieversorgung Mainhardt Wüstenrot GmbH & Co. KG
Energieversorgung Main-Spessart GmbH
Energieversorgung Marienberg GmbH
Energieversorgung Michelfeld GmbH
Energieversorgung Mittelrhein AG
Energieversorgung Münchberg-Schwarzenbach/Saale GmbH & Co.KG
Energieversorgung Nordhausen GmbH
Energieversorgung Oberes Wiesental GmbH
Energieversorgung Oberhausen AG
Energieversorgung Oberstdorf GmbH
Energieversorgung Offenbach AG
Energieversorgung Oy-Kressen e.G.
Energieversorgung Pirna GmbH
Energieversorgung Rodau GmbH
Energieversorgung Rudolstadt GmbH
Energieversorgung Rupert Heider & Co. KG
Energieversorgung Rüsselsheim GmbH
Energieversorgung Schmid
Energieversorgung Sehnde GmbH
Energieversorgung Selb-Marktredwitz GmbH
Energieversorgung Südbaar GmbH & Co.KG
Energieversorgung Sylt GmbH
Energieversorgung Titisee-Neustadt GmbH
Energieversorgung Trossingen GmbH
energieversprechen.de - eine Marke der Stadtwerke Troisdorf
Energiewerk Meckenheim
Energiewerk Ortenau Energiegesellschaft GmbH & Co. KG
Energiewerke Isernhagen GmbH
Energiewerke Zeulenroda GmbH
energis GmbH
energy4u GmbH & Co. KG
enerSwitch - eine Marke der EWV Energie- und Wasser-Versorgung GmbH Stolberg
enewa GmbH Energie + Wasser Wachtberg
ENNI Energie & Umwelt Niederrhein GmbH
enno energie GmbH
ENPURE - eine Marke der Vattenfall Real Estate Energy Sales GmbH
enQu GmbH
ENRW Energieversorgung Rottweil GmbH & Co. KG
ENSO Energie Sachsen Ost AG
Enspire Energie - eine Marke der Stadtwerke Konstanz GmbH
ENSTROGA AG
ENTEGA Energie GmbH
envia Mitteldeutsche Energie AG
enwag energie- und wassergesellschaft mbH
enwor - energie & wasser vor ort GmbH
eprimo GmbH
Erdgas Mittelsachsen GmbH
Erdgas Schwaben GmbH
Erdgas Südwest GmbH
e-regio GmbH & Co. KG
Erenja - eine Marke der Gelsenwasser AG
Erhard Bürk-Kauffmann GmbH
Erlanger Stadtwerke AG
ErmstalEnergie Dettingen an der Erms GmbH & CO. KG
ESWE Versorgungs AG
EUROGATE Technical Services GmbH
evd energieversorgung Dormagen GmbH
EVE EnergieVersorgung Elbtalaue GmbH
EVH GmbH
EVI Energieversorgung Hildesheim GmbH & Co. KG
EVS Energieversorgung Schmalkalden GmbH
EVU Langenpreising
EVU Späth e.K
EW Eichsfeldgas GmbH
EW Geiger GmbH
EWE VERTRIEB GmbH
E-Werk Gerolsheim
e-werk Sachsenwald GmbH
E-Werk Satrup, Heinrich N. Clausen GmbH & Co.KG
E-Werke Haniel Haimhausen OHG
EWG Elektrizitätsversorgung Werther GmbH
EWR AG
EWR GmbH - Energie und Wasser für Remscheid
ew-schmid gmbh
EWV Energie- und Wasser-Versorgung GmbH Stolberg
ExtraEnergie GmbH
EZV Energie- und Service GmbH & Co. KG Untermain
Fair Trade Power Deutschland GmbH
FairEnergie GmbH
FaNergie - eine Marke der Stadtwerke Freiberg am Neckar Vertriebs-GmbH
Feuchter Gemeindewerke GmbH
Filderstadtwerke
Fischereihafen-Betriebsgesellschaft mbH
FischerStrom KG
Fohlenstrom - eine Marke der NEW Niederrhein Energie und Wasser GmbH
Freiberger Stromversorgung GmbH
Freisinger Stadtwerke Versorgungs-GmbH
FREITALER STROM+GAS GMBH
friesenenergie GmbH
Fulda-Eder Energie GmbH & Co. KG - eine Marke der Städtische Werke Kassel AG
fünfwerke GmbH & Co. KG
Fürstlich Fugger v. Glött'sche E-Werks GmbH & Co. KG
Fuxx-Die Sparenergie GmbH
Gammertinger Energie- und Wasserversorgung GmbH
GAS IN GmbH
Gas- und Energiegenossenschaft Ost- und Mitteldeutschland eG
Gas- und Wärmedienst Börnsen GmbH
Gas- und Wasserversorgung Höxter GmbH
GASAG AG
GASPAR - eine Marke der rhenag Rheinische Energie AG
Gasversorgungsgesellschaft mbH Rhein-Erft (GVG)
Gebrüder Eirich GmbH & Co KG Elektrizitätswerk
Gebrüder Heinzelmann Elektrizitätswerk GmbH & Co. KG
Gebrüder Miller KG Elektrizitätsversorgung
Gemeinde Heroldsbach Stromversorgung
Gemeinde-Elektrizitäts- und Wasserwerk-Werk Burtenbach
Gemeindewerk Hördt
Gemeindewerk Kaufungen GmbH & Co. KG - eine Marke der Städtische Werke AG Kassel
Gemeindewerke Ammerbuch GmbH
Gemeindewerke Bad Sassendorf GmbH & Co. KG
Gemeindewerke Baiersbronn
Gemeindewerke Bayerisch Gmain
Gemeindewerke Bobenheim-Roxheim
Gemeindewerke Brüggen GmbH
Gemeindewerke Budenheim AöR
Gemeindewerke Cadolzburg
Gemeindewerke Dudenhofen
Gemeindewerke Ebersdorf
Gemeindewerke Eppelborn GmbH & Co. KG
Gemeindewerke Everswinkel GmbH
Gemeindewerke Frammersbach
Gemeindewerke Gangkofen
Gemeindewerke Garmisch-Partenkirchen
Gemeindewerke Georgensgmünd
Gemeindewerke Grefrath GmbH
Gemeindewerke Großkrotzenburg GmbH
Gemeindewerke Gundelfingen GmbH
Gemeindewerke Halstenbek
Gemeindewerke Hardt
Gemeindewerke Haßloch GmbH
Gemeindewerke Heikendorf GmbH
Gemeindewerke Hermaringen
Gemeindewerke Herxheim
Gemeindewerke Heusweiler GmbH
Gemeindewerke Hohenwestedt GmbH
Gemeindewerke Holzkirchen GmbH
Gemeindewerke Hünxe GmbH
Gemeindewerke Hütschenhausen c/o Stadtwerke Ramstein-Miesenbach
Gemeindewerke Kahl Versorgungsgesellschaft mbH
Gemeindewerke Kiefersfelden
Gemeindewerke Kirkel GmbH
Gemeindewerke Kleinblittersdorf GmbH & Co. KG
Gemeindewerke Krauchenwies
Gemeindewerke Krickenbach c/o Stadtwerke Kaiserslautern Versorgungs-AG
Gemeindewerke Lam
Gemeindewerke Malente
Gemeindewerke Markt Lichtenau
Gemeindewerke Markt Stockstadt am Main
Gemeindewerke Münchweiler AöR
Gemeindewerke Neuendettelsau
Gemeindewerke Niefern-Öschelbronn
Gemeindewerke Nüdlingen
Gemeindewerke Nümbrecht GmbH
Gemeindewerke Oberaudorf Elektrizitäts- und Wasserwerk
Gemeindewerke Oberhaching GmbH
Gemeindewerke Partenstein
Gemeindewerke Peiner Land GmbH & Co.KG
Gemeindewerke Peißenberg KU
Gemeindewerke Pleinfeld
Gemeindewerke Rheinzabern
